Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,9.800000,9.800000,9.800000,9.800000,9.800000,100
2019-07-26,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-07-29,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-07-30,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-07-31,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-08-01,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-08-02,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-08-05,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-08-06,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-08-07,9.760000,9.760000,9.760000,9.760000,9.760000,150000
2019-08-08,9.760000,9.760000,9.760000,9.760000,9.760000,150000
2019-08-09,9.760000,9.760000,9.760000,9.760000,9.760000,150000
2019-08-12,9.760000,9.760000,9.760000,9.760000,9.760000,150000
2019-08-13,9.770000,9.780000,9.770000,9.780000,9.780000,320000
2019-08-14,9.770000,9.780000,9.770000,9.780000,9.780000,320000
2019-08-15,9.770000,9.780000,9.770000,9.780000,9.780000,320000
2019-08-16,9.780000,9.780000,9.780000,9.780000,9.780000,0
2019-08-19,9.780000,9.780000,9.780000,9.780000,9.780000,0
2019-08-20,9.840000,9.850000,9.840000,9.850000,9.850000,1000
2019-08-21,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-08-22,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-08-23,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-08-26,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-08-27,9.850000,9.850000,9.850000,9.850000,9.850000,99100
2019-08-28,9.850000,9.850000,9.850000,9.850000,9.850000,97400
2019-08-29,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-08-30,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-03,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-04,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-05,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-06,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-09,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-10,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-11,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-12,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-13,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-16,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-17,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-18,9.850000,9.920000,9.850000,9.900000,9.900000,88800
2019-09-19,9.900000,9.900000,9.900000,9.900000,9.900000,0
2019-09-20,9.840000,9.850000,9.840000,9.850000,9.850000,290000
2019-09-23,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-24,9.850000,9.850000,9.850000,9.850000,9.850000,26500
2019-09-25,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-26,9.850000,9.850000,9.850000,9.850000,9.850000,25000
2019-09-27,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-09-30,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-10-01,9.906000,9.920000,9.906000,9.920000,9.920000,2500
2019-10-02,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-03,9.890000,9.890000,9.890000,9.890000,9.890000,100000
2019-10-04,9.920000,9.920000,9.896000,9.920000,9.920000,900
2019-10-07,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-08,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-09,9.920000,9.920000,9.920000,9.920000,9.920000,35800
2019-10-10,9.920000,9.920000,9.920000,9.920000,9.920000,100
2019-10-11,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-14,9.920000,9.920000,9.920000,9.920000,9.920000,0
2019-10-15,9.850000,9.950000,9.850000,9.950000,9.950000,6200
2019-10-16,9.850000,9.950000,9.850000,9.926000,9.926000,706300
2019-10-17,9.900000,9.950000,9.900000,9.950000,9.950000,151000
2019-10-18,9.950000,9.950000,9.900000,9.950000,9.950000,10400
2019-10-21,9.950000,9.950000,9.900000,9.924000,9.924000,32700
2019-10-22,9.900000,9.900000,9.870000,9.870000,9.870000,279900
2019-10-23,9.870000,9.870000,9.870000,9.870000,9.870000,0
2019-10-24,9.870000,9.870000,9.870000,9.870000,9.870000,0
2019-10-25,9.850000,9.850000,9.850000,9.850000,9.850000,100000
2019-10-28,9.850000,9.850000,9.850000,9.850000,9.850000,0
2019-10-29,9.930000,9.930000,9.930000,9.930000,9.930000,17500
2019-10-30,9.900000,9.912000,9.850000,9.881000,9.881000,7300
2019-10-31,10.150000,10.150000,10.070000,10.080000,10.080000,1698200
2019-11-01,10.100000,10.132000,10.080000,10.080000,10.080000,32800
2019-11-04,10.090000,10.090000,10.060000,10.090000,10.090000,246500
2019-11-05,10.070000,10.090000,10.060000,10.090000,10.090000,10100
2019-11-06,10.070000,10.100000,10.050000,10.050000,10.050000,137700
2019-11-07,10.070000,10.100000,10.040000,10.080000,10.080000,18500
2019-11-08,10.075000,10.100000,10.070000,10.100000,10.100000,1600
2019-11-11,10.089000,10.089000,10.086000,10.086000,10.086000,600
2019-11-12,10.086000,10.086000,10.086000,10.086000,10.086000,100
2019-11-13,10.086000,10.086000,10.086000,10.086000,10.086000,0
2019-11-14,10.050000,10.100000,10.040000,10.090000,10.090000,2011300
2019-11-15,10.090000,10.090000,10.090000,10.090000,10.090000,100
2019-11-18,10.050000,10.090000,10.040000,10.040000,10.040000,16900
2019-11-19,10.040000,10.040000,10.040000,10.040000,10.040000,0
2019-11-20,10.043000,10.043000,10.043000,10.043000,10.043000,100
2019-11-21,10.043000,10.043000,10.043000,10.043000,10.043000,100
2019-11-22,10.043000,10.043000,10.043000,10.043000,10.043000,0
2019-11-25,10.090000,10.090000,10.040000,10.040000,10.040000,255300
