Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,9.850000,9.850000,9.840000,9.840000,9.840000,616900
2019-12-10,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-11,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-12,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-13,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-16,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-17,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-18,9.840000,9.860000,9.840000,9.860000,9.860000,76300
2019-12-19,9.840000,9.840000,9.840000,9.840000,9.840000,50000
2019-12-20,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-23,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-24,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-26,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-27,9.840000,9.840000,9.840000,9.840000,9.840000,25000
2019-12-30,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-31,9.850000,9.850000,9.850000,9.850000,9.850000,40900
2020-01-02,9.870000,9.870000,9.860000,9.860000,9.860000,101000
2020-01-03,9.860000,9.870000,9.860000,9.870000,9.870000,300
2020-01-06,9.870000,9.870000,9.870000,9.870000,9.870000,0
2020-01-07,9.870000,9.870000,9.870000,9.870000,9.870000,0
2020-01-08,9.870000,9.870000,9.870000,9.870000,9.870000,0
2020-01-09,9.880000,9.920000,9.880000,9.920000,9.920000,300500
2020-01-10,9.920000,9.920000,9.920000,9.920000,9.920000,0
2020-01-13,9.920000,9.920000,9.920000,9.920000,9.920000,0
2020-01-14,9.920000,9.920000,9.879000,9.880000,9.880000,105600
2020-01-15,9.890000,9.950000,9.890000,9.950000,9.950000,110700
2020-01-16,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-01-17,9.980000,9.980000,9.940000,9.940000,9.940000,103100
2020-01-21,9.950000,9.960000,9.950000,9.960000,9.960000,6000
2020-01-22,9.960000,9.960000,9.960000,9.960000,9.960000,0
2020-01-23,9.960000,9.960000,9.960000,9.960000,9.960000,0
2020-01-24,9.950000,9.950000,9.950000,9.950000,9.950000,5700
2020-01-27,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-01-28,9.880000,9.880000,9.880000,9.880000,9.880000,100
2020-01-29,9.940000,9.940000,9.929000,9.930000,9.930000,303200
2020-01-30,9.930000,9.950000,9.930000,9.940000,9.940000,73400
2020-01-31,9.940000,9.940000,9.940000,9.940000,9.940000,0
2020-02-03,9.940000,9.950000,9.920000,9.950000,9.950000,25300
2020-02-04,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-02-05,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-02-06,9.960000,9.960000,9.960000,9.960000,9.960000,100000
2020-02-07,9.940000,9.990000,9.910000,9.960000,9.960000,405500
2020-02-10,9.950000,9.980000,9.950000,9.970000,9.970000,676700
2020-02-11,9.950000,9.980000,9.950000,9.970000,9.970000,352700
2020-02-12,9.970000,9.990000,9.970000,9.970000,9.970000,5400
2020-02-13,9.950000,9.950000,9.950000,9.950000,9.950000,346500
2020-02-14,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-02-18,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-02-19,9.960000,9.960000,9.960000,9.960000,9.960000,100000
2020-02-20,9.960000,9.960000,9.960000,9.960000,9.960000,1200
2020-02-21,9.960000,9.960000,9.960000,9.960000,9.960000,0
2020-02-24,9.950000,9.950000,9.950000,9.950000,9.950000,300
2020-02-25,9.970000,10.050000,9.960000,9.980000,9.980000,111400
2020-02-26,9.970000,9.980000,9.970000,9.970000,9.970000,74700
2020-02-27,9.990000,9.990000,9.950000,9.960000,9.960000,309500
2020-02-28,9.970000,9.980000,9.940000,9.980000,9.980000,27100
2020-03-02,9.980000,9.980000,9.950000,9.950000,9.950000,128200
2020-03-03,9.960000,9.960000,9.960000,9.960000,9.960000,76500
2020-03-04,9.970000,9.980000,9.960000,9.980000,9.980000,380000
2020-03-05,9.960000,9.960000,9.950000,9.950000,9.950000,75000
2020-03-06,9.980000,9.980000,9.970000,9.970000,9.970000,1300
2020-03-09,9.900000,9.900000,9.760000,9.760000,9.760000,800
2020-03-10,9.760000,9.760000,9.760000,9.760000,9.760000,0
2020-03-11,9.960000,9.960000,9.860000,9.860000,9.860000,400
2020-03-12,9.850000,9.900000,8.990000,9.900000,9.900000,162000
2020-03-13,9.850000,9.890000,9.750000,9.770000,9.770000,4600
2020-03-16,9.720000,9.720000,9.700000,9.700000,9.700000,500
2020-03-17,9.600000,9.600000,9.510000,9.510000,9.510000,3000
2020-03-18,9.539000,9.539000,9.450000,9.450000,9.450000,1600
2020-03-19,9.400000,9.580000,9.400000,9.580000,9.580000,700
2020-03-20,9.463000,9.600000,9.463000,9.600000,9.600000,1100
2020-03-23,9.600000,9.600000,9.600000,9.600000,9.600000,0
2020-03-24,9.550000,9.550000,9.550000,9.550000,9.550000,630000
2020-03-25,9.550000,9.550000,9.550000,9.550000,9.550000,0
2020-03-26,9.550000,9.550000,9.550000,9.550000,9.550000,0
2020-03-27,9.550000,9.550000,9.550000,9.550000,9.550000,1000
2020-03-30,9.690000,9.805000,9.550000,9.550000,9.550000,154600
2020-03-31,9.690000,9.780000,9.690000,9.780000,9.780000,50900
2020-04-01,9.710000,9.790000,9.700000,9.790000,9.790000,6200
2020-04-02,9.790000,9.790000,9.790000,9.790000,9.790000,0
2020-04-03,9.800000,9.800000,9.700000,9.700000,9.700000,44500
2020-04-06,9.720000,9.769000,9.700000,9.749000,9.749000,2000
2020-04-07,9.750000,9.750000,9.750000,9.750000,9.750000,3700
2020-04-08,9.800000,9.800000,9.800000,9.800000,9.800000,300
2020-04-09,9.800000,9.800000,9.800000,9.800000,9.800000,0
2020-04-13,9.800000,9.830000,9.800000,9.830000,9.830000,400
2020-04-14,9.830000,9.830000,9.830000,9.830000,9.830000,0
2020-04-15,9.830000,9.830000,9.830000,9.830000,9.830000,0
2020-04-16,9.830000,9.830000,9.830000,9.830000,9.830000,0
2020-04-17,9.800000,9.800000,9.800000,9.800000,9.800000,1728800
2020-04-20,9.800000,9.800000,9.800000,9.800000,9.800000,0
2020-04-21,9.800000,9.800000,9.800000,9.800000,9.800000,0
2020-04-22,9.800000,9.800000,9.800000,9.800000,9.800000,0
2020-04-23,9.820000,9.820000,9.730000,9.800000,9.800000,103900
2020-04-24,9.850000,9.850000,9.850000,9.850000,9.850000,300
2020-04-27,9.900000,10.000000,9.800000,9.820000,9.820000,27600
2020-04-28,9.850000,9.850000,9.850000,9.850000,9.850000,26500
2020-04-29,9.850000,9.850000,9.850000,9.850000,9.850000,250000
2020-04-30,9.850000,9.850000,9.850000,9.850000,9.850000,0
2020-05-01,9.850000,9.850000,9.850000,9.850000,9.850000,2500
2020-05-04,9.850000,9.850000,9.850000,9.850000,9.850000,0
2020-05-05,9.850000,9.850000,9.850000,9.850000,9.850000,0
2020-05-06,9.800000,9.800000,9.750000,9.750000,9.750000,19900
2020-05-07,9.750000,9.750000,9.750000,9.750000,9.750000,0
2020-05-08,9.750000,9.750000,9.750000,9.750000,9.750000,0
2020-05-11,9.750000,9.750000,9.750000,9.750000,9.750000,0
2020-05-12,9.830000,9.830000,9.830000,9.830000,9.830000,250000
2020-05-13,9.810000,9.810000,9.770000,9.810000,9.810000,1200
2020-05-14,9.780000,9.790000,9.750000,9.770000,9.770000,5000
2020-05-15,9.770000,9.770000,9.770000,9.770000,9.770000,0
2020-05-18,9.770000,9.770000,9.770000,9.770000,9.770000,0
2020-05-19,9.770000,9.770000,9.770000,9.770000,9.770000,25300
2020-05-20,9.770000,9.770000,9.770000,9.770000,9.770000,0
2020-05-21,9.770000,9.770000,9.770000,9.770000,9.770000,0
2020-05-22,9.770000,9.770000,9.770000,9.770000,9.770000,0
2020-05-26,9.770000,9.770000,9.770000,9.770000,9.770000,0
2020-05-27,9.800000,9.800000,9.800000,9.800000,9.800000,100000
2020-05-28,9.830000,9.830000,9.800000,9.800000,9.800000,50200
2020-05-29,9.890000,9.890000,9.890000,9.890000,9.890000,1200
2020-06-01,9.890000,9.890000,9.890000,9.890000,9.890000,0
2020-06-02,9.840000,9.840000,9.840000,9.840000,9.840000,500000
2020-06-03,9.840000,9.840000,9.840000,9.840000,9.840000,150000
2020-06-04,9.840000,9.840000,9.840000,9.840000,9.840000,0
2020-06-05,9.840000,9.840000,9.840000,9.840000,9.840000,0
2020-06-08,9.840000,9.840000,9.840000,9.840000,9.840000,0
2020-06-09,9.840000,9.840000,9.840000,9.840000,9.840000,0
2020-06-10,9.890000,9.890000,9.850000,9.870000,9.870000,50200
2020-06-11,9.870000,9.870000,9.870000,9.870000,9.870000,0
2020-06-12,9.880000,9.880000,9.850000,9.860000,9.860000,27300
2020-06-15,9.890000,9.920000,9.880000,9.880000,9.880000,141000
2020-06-16,9.910000,9.910000,9.880000,9.890000,9.890000,448900
2020-06-17,9.900000,9.940000,9.900000,9.930000,9.930000,10200
2020-06-18,9.930000,9.930000,9.930000,9.930000,9.930000,100
2020-06-19,9.940000,10.130000,9.940000,9.960000,9.960000,634400
2020-06-22,10.140000,10.140000,10.100000,10.100000,10.100000,316100
2020-06-23,10.000000,10.070000,10.000000,10.020000,10.020000,4000
2020-06-24,10.020000,10.020000,10.020000,10.020000,10.020000,0
2020-06-25,9.950000,9.950000,9.950000,9.950000,9.950000,25000
2020-06-26,9.990000,9.990000,9.950000,9.950000,9.950000,26800
2020-06-29,9.940000,9.950000,9.940000,9.940000,9.940000,146400
2020-06-30,10.000000,10.000000,10.000000,10.000000,10.000000,3100
2020-07-01,9.940000,9.940000,9.940000,9.940000,9.940000,100
2020-07-02,9.950000,9.950000,9.930000,9.950000,9.950000,62700
2020-07-06,10.050000,10.050000,9.950000,9.950000,9.950000,4200
2020-07-07,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-07-08,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-07-09,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-07-10,9.980000,9.980000,9.980000,9.980000,9.980000,100
2020-07-13,9.980000,10.000000,9.980000,9.990000,9.990000,1100
2020-07-14,10.000000,10.000000,10.000000,10.000000,10.000000,600
2020-07-15,10.000000,10.000000,10.000000,10.000000,10.000000,500
2020-07-16,10.000000,10.000000,9.980000,9.980000,9.980000,6200
2020-07-17,9.990000,9.990000,9.980000,9.980000,9.980000,284900
2020-07-20,9.990000,10.000000,9.990000,10.000000,10.000000,20000
2020-07-21,10.000000,10.000000,10.000000,10.000000,10.000000,0
2020-07-22,10.000000,10.000000,10.000000,10.000000,10.000000,0
2020-07-23,10.010000,10.010000,10.000000,10.000000,10.000000,74000
2020-07-24,10.000000,10.010000,10.000000,10.000000,10.000000,61900
2020-07-27,10.000000,10.140000,9.980000,9.980000,9.980000,73200
2020-07-28,10.000000,10.000000,9.980000,9.980000,9.980000,9700
2020-07-29,9.970000,9.990000,9.970000,9.970000,9.970000,5000
2020-07-30,10.100000,10.100000,10.090000,10.100000,10.100000,3700
