Date,Open,High,Low,Close,Adj Close,Volume
2017-05-04,13.290000,14.180000,13.010000,13.980000,13.980000,1407500
2017-05-05,14.080000,14.700000,14.000000,14.000000,14.000000,134200
2017-05-08,14.550000,15.940000,14.119000,15.940000,15.940000,229600
2017-05-09,16.139999,16.900000,15.070000,16.410000,16.410000,127500
2017-05-10,16.219999,17.160000,16.219999,16.860001,16.860001,91300
2017-05-11,17.469999,17.469999,16.011000,16.940001,16.940001,60800
2017-05-12,17.240000,17.240000,14.250000,16.400000,16.400000,65200
2017-05-15,16.500000,17.040001,15.870000,16.990000,16.990000,26300
2017-05-16,17.250000,17.250000,16.346001,17.129999,17.129999,98300
2017-05-17,16.920000,17.219999,16.379999,16.430000,16.430000,17400
2017-05-18,16.889999,18.000000,16.500000,18.000000,18.000000,46600
2017-05-19,17.900000,19.260000,17.730000,18.850000,18.850000,59000
2017-05-22,19.190001,20.020000,18.010000,18.900000,18.900000,44500
2017-05-23,19.871000,19.871000,18.500000,18.549999,18.549999,13000
2017-05-24,19.000000,19.000000,18.030001,18.700001,18.700001,9300
2017-05-25,18.799999,18.801001,18.020000,18.410000,18.410000,13900
2017-05-26,18.410000,18.480000,17.879999,18.480000,18.480000,41100
2017-05-30,18.750000,19.670000,18.500000,18.930000,18.930000,86400
2017-05-31,19.799999,19.799999,17.389999,17.850000,17.850000,54900
2017-06-01,17.900000,18.600000,17.200001,18.600000,18.600000,109000
2017-06-02,18.930000,19.379999,18.350000,18.639999,18.639999,35200
2017-06-05,18.510000,18.650000,18.200001,18.500000,18.500000,8800
2017-06-06,17.860001,18.247999,17.850000,17.850000,17.850000,10800
2017-06-07,17.500000,18.000000,17.500000,17.889999,17.889999,35600
2017-06-08,18.180000,18.224001,17.500000,17.510000,17.510000,10300
2017-06-09,17.780001,17.990000,16.129999,16.400000,16.400000,20800
2017-06-12,16.350000,16.680000,15.750000,16.360001,16.360001,18200
2017-06-13,16.200001,16.500000,15.565000,16.209999,16.209999,50400
2017-06-14,16.110001,16.250000,14.520000,15.720000,15.720000,91400
2017-06-15,15.600000,16.528000,14.870000,15.130000,15.130000,28200
2017-06-16,15.380000,15.840000,14.610000,15.610000,15.610000,68100
2017-06-19,15.800000,15.900000,15.370000,15.630000,15.630000,27800
2017-06-20,16.010000,16.010000,15.250000,15.890000,15.890000,34000
