Date,Open,High,Low,Close,Adj Close,Volume
2016-12-27,7.000000,7.020000,5.800000,5.850000,5.850000,12500
2016-12-28,6.020000,6.200000,5.670000,5.680000,5.680000,17800
2016-12-29,5.500000,5.650000,5.190000,5.400000,5.400000,17600
2016-12-30,5.290000,5.290000,4.900000,4.950000,4.950000,10500
2017-01-03,5.000000,5.000000,4.677000,4.677000,4.677000,23000
2017-01-04,4.750000,5.930000,4.550000,5.930000,5.930000,24600
2017-01-05,5.900000,5.900000,4.950000,5.000000,5.000000,38900
2017-01-06,5.300000,5.300000,5.030000,5.120000,5.120000,30600
2017-01-09,5.260000,5.462000,4.680000,4.680000,4.680000,14100
2017-01-10,4.960000,4.970000,4.190000,4.210000,4.210000,19900
2017-01-11,4.160000,4.900000,4.160000,4.250000,4.250000,26100
2017-01-12,4.400000,4.400000,4.051000,4.270000,4.270000,17700
2017-01-13,4.474000,4.474000,3.941000,4.150000,4.150000,36700
2017-01-17,4.330000,4.500000,4.200000,4.360000,4.360000,115300
2017-01-18,4.450000,4.455000,4.030000,4.200000,4.200000,51600
2017-01-19,4.090000,4.166000,4.020000,4.050000,4.050000,29000
2017-01-20,4.220000,4.220000,4.050000,4.060000,4.060000,34800
2017-01-23,4.050000,4.280000,4.050000,4.090000,4.090000,26600
2017-01-24,4.030000,4.250000,4.030000,4.177000,4.177000,37700
2017-01-25,4.120000,4.200000,4.020000,4.030000,4.030000,31900
2017-01-26,4.130000,4.150000,4.050000,4.050000,4.050000,19100
2017-01-27,4.050000,4.055000,3.900000,3.960000,3.960000,5600
2017-01-30,3.740000,3.890000,3.010000,3.800000,3.800000,4700
2017-01-31,3.900000,3.900000,3.530000,3.700000,3.700000,17500
2017-02-01,3.970000,3.997000,3.700000,3.960000,3.960000,11100
2017-02-02,3.890000,3.940000,3.700000,3.700000,3.700000,12600
2017-02-03,3.840000,3.950000,3.800000,3.950000,3.950000,10800
2017-02-06,4.020000,4.040000,3.800000,4.025000,4.025000,12600
2017-02-07,4.010000,4.070000,4.010000,4.040000,4.040000,10400
2017-02-08,4.050000,4.085000,4.010000,4.070000,4.070000,12700
2017-02-09,4.070000,4.090000,4.030000,4.090000,4.090000,14700
2017-02-10,4.090000,4.090000,3.990000,4.020000,4.020000,10700
2017-02-13,4.080000,4.100000,4.020000,4.070000,4.070000,37700
2017-02-14,4.100000,4.140000,4.020000,4.060000,4.060000,38200
2017-02-15,4.100000,4.100000,4.020000,4.034000,4.034000,25500
2017-02-16,4.100000,4.100000,4.000000,4.060000,4.060000,30300
2017-02-17,4.100000,4.430000,4.010000,4.200000,4.200000,38500
2017-02-21,4.460000,4.460000,3.920000,4.140000,4.140000,28100
2017-02-22,4.030000,4.140000,3.980000,4.040000,4.040000,38700
