Date,Open,High,Low,Close,Adj Close,Volume
2021-06-25,22.000000,24.190001,19.209999,19.250000,19.250000,1650400
2021-06-28,18.030001,20.250000,17.049999,19.600000,19.600000,72300
2021-06-29,19.490000,21.650000,19.000000,21.120001,21.120001,235400
2021-06-30,21.000000,22.500000,21.000000,21.730000,21.730000,290300
2021-07-01,22.450001,26.910000,21.229000,22.500000,22.500000,692500
2021-07-02,22.309999,22.990000,19.570000,21.230000,21.230000,284500
2021-07-06,21.500000,21.820000,20.250000,20.510000,20.510000,57100
2021-07-07,20.959999,21.500000,18.155001,20.090000,20.090000,163700
2021-07-08,20.430000,22.120001,18.889999,19.780001,19.780001,76100
2021-07-09,19.780001,19.879999,18.940001,19.548000,19.548000,2100
2021-07-12,19.120001,20.855000,19.120001,19.980000,19.980000,42000
2021-07-13,21.240000,21.240000,18.840000,19.719999,19.719999,27000
2021-07-14,18.940001,20.600000,17.719999,17.719999,17.719999,11200
2021-07-15,18.600000,19.000000,16.000000,16.940001,16.940001,75400
2021-07-16,17.240000,18.889999,16.750000,17.500000,17.500000,64400
2021-07-19,17.809999,18.014999,16.525000,17.250000,17.250000,8200
2021-07-20,17.040001,18.990000,17.000000,17.660000,17.660000,298700
2021-07-21,18.590000,19.330000,17.200001,17.389999,17.389999,178100
2021-07-22,17.590000,18.245001,17.580000,18.000000,18.000000,48500
2021-07-23,17.900000,18.254999,17.000000,17.309999,17.309999,53400
2021-07-26,17.000000,17.723000,16.510000,16.730000,16.730000,93200
2021-07-27,16.500000,17.075001,16.030001,16.510000,16.510000,44700
2021-07-28,16.219999,17.160000,15.855000,17.000000,17.000000,148900
2021-07-29,16.760000,19.087000,15.080000,17.360001,17.360001,76000
2021-07-30,17.030001,19.799999,15.830000,19.700001,19.700001,124100
2021-08-02,19.830000,21.139999,19.000000,20.730000,20.730000,79800
2021-08-03,21.260000,21.639999,20.305000,20.889999,20.889999,57500
2021-08-04,20.680000,21.900000,20.290001,20.799999,20.799999,59700
2021-08-05,20.709999,21.930000,20.086000,20.330000,20.330000,46300
2021-08-06,20.209999,22.596001,19.950001,20.500000,20.500000,43000
2021-08-09,20.080000,20.670000,18.275000,18.440001,18.440001,22700
2021-08-10,18.440001,20.059999,18.440001,19.440001,19.440001,85900
2021-08-11,19.450001,20.510000,19.450001,19.879999,19.879999,38300
2021-08-12,19.690001,23.590000,19.049999,20.610001,20.610001,257900
2021-08-13,20.270000,22.000000,19.365999,21.000000,21.000000,52000
2021-08-16,20.610001,20.980000,19.122999,19.600000,19.600000,12000
2021-08-17,20.000000,23.090000,18.910000,20.100000,20.100000,34900
2021-08-18,19.799999,22.492100,19.799999,20.500000,20.500000,16962
