Date,Open,High,Low,Close,Adj Close,Volume
2021-05-21,9.770000,9.800000,9.750000,9.800000,9.800000,40800
2021-05-24,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-05-25,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-05-26,9.915000,10.000000,9.740000,9.865000,9.865000,11300
2021-05-27,9.865000,9.865000,9.865000,9.865000,9.865000,0
2021-05-28,9.865000,9.865000,9.865000,9.865000,9.865000,0
2021-06-01,9.865000,9.865000,9.865000,9.865000,9.865000,0
2021-06-02,9.870000,9.935000,9.870000,9.935000,9.935000,22900
2021-06-03,9.940000,9.940000,9.900000,9.900000,9.900000,2800
2021-06-04,9.950000,9.950000,9.660000,9.900000,9.900000,2200
2021-06-07,9.900000,9.900000,9.900000,9.900000,9.900000,0
2021-06-08,9.900000,9.900000,9.900000,9.900000,9.900000,0
2021-06-09,9.900000,9.900000,9.900000,9.900000,9.900000,0
2021-06-10,9.900000,9.900000,9.900000,9.900000,9.900000,0
2021-06-11,10.000000,10.000000,9.950000,9.990000,9.990000,11600
2021-06-14,9.740000,10.000000,9.740000,9.950000,9.950000,1700
2021-06-15,9.950000,9.950000,9.760000,9.770000,9.770000,4300
2021-06-16,9.930000,9.930000,9.820000,9.930000,9.930000,1300
2021-06-17,9.780000,9.980000,9.770000,9.940000,9.940000,7300
2021-06-18,9.900000,9.940000,9.900000,9.940000,9.940000,5000
2021-06-21,9.940000,9.940000,9.940000,9.940000,9.940000,0
2021-06-22,9.940000,9.940000,9.940000,9.940000,9.940000,0
2021-06-23,9.940000,9.940000,9.940000,9.940000,9.940000,0
2021-06-24,9.800000,9.800000,9.800000,9.800000,9.800000,200
2021-06-25,9.800000,9.970000,9.770000,9.800000,9.800000,6700
2021-06-28,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-06-29,10.170000,10.170000,9.900000,9.900000,9.900000,1300
2021-06-30,9.900000,9.900000,9.900000,9.900000,9.900000,0
2021-07-01,9.840000,9.920000,9.740000,9.910000,9.910000,700
2021-07-02,9.740000,9.870000,9.740000,9.870000,9.870000,300
2021-07-06,9.800000,9.860000,9.800000,9.860000,9.860000,2000
2021-07-07,9.860000,9.860000,9.860000,9.860000,9.860000,0
2021-07-08,9.750000,9.840000,9.750000,9.840000,9.840000,700
2021-07-09,9.740000,9.830000,9.740000,9.830000,9.830000,7000
2021-07-12,9.790000,9.860000,9.750000,9.810000,9.810000,3600
2021-07-13,9.750000,10.000000,9.730000,9.850000,9.850000,72600
2021-07-14,9.740000,9.760000,9.720000,9.760000,9.760000,17300
2021-07-15,9.750000,9.750000,9.730000,9.730000,9.730000,1300
2021-07-16,9.750000,9.760000,9.736000,9.750000,9.750000,9400
2021-07-19,9.680000,9.745000,9.680000,9.710000,9.710000,29900
2021-07-20,9.710000,9.759000,9.651000,9.680000,9.680000,12300
2021-07-21,9.730000,9.730000,9.670000,9.730000,9.730000,800
2021-07-22,9.730000,9.730000,9.730000,9.730000,9.730000,800
2021-07-23,9.640000,9.730000,9.630000,9.710000,9.710000,2200
2021-07-26,9.675000,9.700000,9.650000,9.700000,9.700000,10400
2021-07-27,9.630000,9.700000,9.630000,9.700000,9.700000,700
2021-07-28,9.640000,9.730000,9.640000,9.730000,9.730000,300
2021-07-29,9.730000,9.730000,9.730000,9.730000,9.730000,0
2021-07-30,9.730000,9.730000,9.730000,9.730000,9.730000,0
2021-08-02,9.710000,9.730000,9.680000,9.730000,9.730000,21300
2021-08-03,9.720000,9.720000,9.710000,9.720000,9.720000,1700
2021-08-04,9.660000,9.720000,9.660000,9.720000,9.720000,2200
2021-08-05,9.700000,9.700000,9.695000,9.695000,9.695000,1700
2021-08-06,9.680000,9.720000,9.641000,9.707000,9.707000,2400
2021-08-09,9.707000,9.707000,9.707000,9.707000,9.707000,0
2021-08-10,9.700000,9.720000,9.650000,9.650000,9.650000,5600
2021-08-11,9.650000,9.650000,9.650000,9.650000,9.650000,100
2021-08-12,9.720000,9.720000,9.720000,9.720000,9.720000,200
2021-08-13,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-08-16,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-08-17,9.719900,9.660000,9.660000,9.720000,9.720000,1
