Date,Open,High,Low,Close,Adj Close,Volume
2019-06-21,10.000000,10.750000,9.610000,9.800000,9.800000,12400
2019-06-24,9.750000,9.750000,9.750000,9.750000,9.750000,4900
2019-06-25,9.755000,9.760000,9.750000,9.750000,9.750000,593300
2019-06-26,9.750000,9.760000,9.720000,9.750000,9.750000,288100
2019-06-27,9.740000,9.750000,9.740000,9.740000,9.740000,6500
2019-06-28,9.750000,9.750000,9.730000,9.741000,9.741000,563300
2019-07-01,9.740000,9.800000,9.740000,9.800000,9.800000,172700
2019-07-02,9.790000,9.800000,9.790000,9.800000,9.800000,6500
2019-07-03,10.000000,10.000000,9.800000,9.800000,9.800000,9500
2019-07-05,9.800000,9.800000,9.800000,9.800000,9.800000,0
2019-07-08,9.810000,9.810000,9.810000,9.810000,9.810000,1500
2019-07-09,9.810000,9.810000,9.810000,9.810000,9.810000,100
2019-07-10,9.810000,9.810000,9.810000,9.810000,9.810000,0
2019-07-11,9.820000,9.820000,9.820000,9.820000,9.820000,169100
2019-07-12,9.820000,9.820000,9.820000,9.820000,9.820000,0
2019-07-15,10.000000,10.000000,10.000000,10.000000,10.000000,10000
2019-07-16,9.850000,9.890000,9.850000,9.890000,9.890000,9200
2019-07-17,9.880000,9.880000,9.880000,9.880000,9.880000,200
2019-07-18,9.880000,9.880000,9.880000,9.880000,9.880000,200
2019-07-19,9.830000,9.850000,9.830000,9.850000,9.850000,4600
2019-07-22,9.850000,9.880000,9.850000,9.880000,9.880000,152000
2019-07-23,9.860000,9.860000,9.860000,9.860000,9.860000,35900
2019-07-24,9.860000,9.860000,9.860000,9.860000,9.860000,0
2019-07-25,9.860000,9.870000,9.860000,9.870000,9.870000,26000
2019-07-26,9.870000,9.870000,9.870000,9.870000,9.870000,28200
2019-07-29,9.870000,10.100000,9.860000,10.100000,10.100000,270700
2019-07-30,9.860000,10.110000,9.860000,9.950000,9.950000,31300
2019-07-31,9.870000,9.880000,9.850000,9.880000,9.880000,350400
2019-08-01,10.100000,10.100000,9.930000,9.930000,9.930000,300
2019-08-02,9.880000,9.880000,9.880000,9.880000,9.880000,300
2019-08-05,9.920000,9.920000,9.850000,9.900000,9.900000,16900
2019-08-06,9.880000,9.900000,9.880000,9.880000,9.880000,9900
2019-08-07,9.860000,9.860000,9.824000,9.824000,9.824000,800
2019-08-08,9.860000,9.860000,9.824000,9.824000,9.824000,800
2019-08-09,9.870000,9.870000,9.870000,9.870000,9.870000,500
2019-08-12,9.870000,9.870000,9.870000,9.870000,9.870000,500
2019-08-13,9.880000,9.900000,9.880000,9.900000,9.900000,33100
2019-08-14,9.880000,9.880000,9.880000,9.880000,9.880000,2000
2019-08-15,9.890000,9.970000,9.890000,9.970000,9.970000,20800
2019-08-16,9.890000,9.910000,9.880000,9.910000,9.910000,216000
2019-08-19,9.910000,9.970000,9.910000,9.970000,9.970000,4500
2019-08-20,9.900000,9.950000,9.890000,9.900000,9.900000,12000
2019-08-21,9.910000,9.940000,9.880000,9.890000,9.890000,6500
2019-08-22,9.900000,9.940000,9.820000,9.870000,9.870000,22000
2019-08-23,9.870000,9.900000,9.870000,9.880000,9.880000,20500
2019-08-26,9.940000,9.940000,9.850000,9.850000,9.850000,87800
2019-08-27,9.900000,9.900000,9.900000,9.900000,9.900000,500
2019-08-28,9.900000,9.900000,9.900000,9.900000,9.900000,0
2019-08-29,9.900000,9.900000,9.900000,9.900000,9.900000,0
2019-08-30,9.900000,9.900000,9.900000,9.900000,9.900000,0
2019-09-03,9.880000,9.880000,9.880000,9.880000,9.880000,100
2019-09-04,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-09-05,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-09-06,9.880000,9.880000,9.880000,9.880000,9.880000,0
2019-09-09,9.880000,9.880000,9.880000,9.880000,9.880000,0
