Date,Open,High,Low,Close,Adj Close,Volume
2017-01-26,13.290000,13.500000,10.570000,11.650000,11.650000,3305100
2017-01-27,11.700000,12.230000,11.050000,11.680000,11.680000,331300
2017-01-30,11.330000,11.990000,11.150000,11.760000,11.760000,195100
2017-01-31,11.760000,11.810000,11.290000,11.660000,11.660000,133100
2017-02-01,11.700000,11.700000,10.750000,11.300000,11.300000,140000
2017-02-02,11.320000,11.320000,10.895000,11.050000,11.050000,61600
2017-02-03,11.420000,11.680000,10.950000,11.680000,11.680000,66800
2017-02-06,11.680000,11.750000,10.940000,11.500000,11.500000,45000
2017-02-07,11.100000,11.700000,11.100000,11.700000,11.700000,51900
2017-02-08,11.700000,12.180000,11.310000,12.180000,12.180000,37700
2017-02-09,12.140000,12.650000,12.135000,12.300000,12.300000,43500
2017-02-10,12.300000,12.880000,12.250000,12.700000,12.700000,34500
2017-02-13,12.780000,13.060000,11.860000,12.620000,12.620000,65700
2017-02-14,12.640000,13.300000,12.019000,13.050000,13.050000,70800
2017-02-15,13.000000,13.279000,13.000000,13.180000,13.180000,39800
2017-02-16,13.240000,13.300000,13.200000,13.290000,13.290000,54300
2017-02-17,13.300000,13.355000,13.060000,13.210000,13.210000,53400
2017-02-21,13.470000,13.470000,13.100000,13.150000,13.150000,110900
2017-02-22,13.250000,13.460000,13.220000,13.460000,13.460000,80200
2017-02-23,13.470000,13.470000,12.500000,13.250000,13.250000,88800
2017-02-24,12.225000,14.695000,12.225000,13.990000,13.990000,43900
2017-02-27,14.180000,14.180000,13.620000,13.620000,13.620000,11300
2017-02-28,13.550000,13.550000,12.250000,12.900000,12.900000,17100
2017-03-01,12.340000,13.150000,12.260000,13.100000,13.100000,14600
2017-03-02,13.100000,13.100000,13.100000,13.100000,13.100000,0
2017-03-03,12.420000,13.150000,12.400000,13.140000,13.140000,10400
2017-03-06,12.650000,13.390000,12.269000,13.380000,13.380000,4700
2017-03-07,13.084000,13.487000,12.330000,12.690000,12.690000,12900
2017-03-08,12.780000,13.340000,12.780000,13.000000,13.000000,16600
2017-03-09,13.240000,13.400000,12.925000,13.340000,13.340000,95700
2017-03-10,13.270000,13.470000,13.130000,13.400000,13.400000,8700
2017-03-13,13.111000,13.530000,13.010000,13.140000,13.140000,6400
2017-03-14,13.220000,13.250000,13.000000,13.010000,13.010000,13500
2017-03-15,13.021000,13.040000,13.000000,13.000000,13.000000,3000
2017-03-16,13.000000,13.040000,12.280000,12.330000,12.330000,9300
2017-03-17,12.370000,12.805000,12.280000,12.280000,12.280000,23300
2017-03-20,12.280000,12.590000,11.410000,11.410000,11.410000,15000
2017-03-21,11.350000,11.650000,10.760000,11.200000,11.200000,32700
2017-03-22,11.200000,11.810000,11.200000,11.320000,11.320000,3600
2017-03-23,11.390000,12.000000,11.200000,11.240000,11.240000,9900
2017-03-24,11.837000,11.837000,11.200000,11.200000,11.200000,9900
2017-03-27,11.278000,11.278000,11.158000,11.160000,11.160000,300
2017-03-28,11.200000,11.350000,10.970000,10.970000,10.970000,9300
2017-03-29,11.380000,11.380000,10.590000,10.590000,10.590000,900
2017-03-30,10.769000,10.769000,10.560000,10.560000,10.560000,2600
2017-03-31,10.610000,11.424000,10.350000,10.410000,10.410000,54300
2017-04-03,10.440000,11.690000,9.500000,9.620000,9.620000,44200
2017-04-04,9.620000,10.240000,9.090000,9.090000,9.090000,5700
2017-04-05,9.220000,9.730000,9.210000,9.250000,9.250000,32000
2017-04-06,10.110000,10.225000,9.000000,9.000000,9.000000,40700
2017-04-07,8.990000,9.925000,8.500000,8.500000,8.500000,13300
2017-04-10,8.700000,8.702000,7.920000,8.130000,8.130000,15900
2017-04-11,8.100000,8.590000,7.600000,8.080000,8.080000,12200
2017-04-12,8.160000,8.980000,7.825000,8.050000,8.050000,11400
2017-04-13,8.010000,8.050000,7.200000,7.400000,7.400000,43600
2017-04-17,7.330000,8.340000,7.010000,7.090000,7.090000,6700
2017-04-18,7.500000,7.540000,7.150000,7.270000,7.270000,17400
2017-04-19,7.240000,7.370000,7.110000,7.110000,7.110000,7200
2017-04-20,7.220000,7.230000,6.800000,6.810000,6.810000,34600
2017-04-21,6.800000,6.990000,6.220000,6.630000,6.630000,68300
2017-04-24,6.780000,7.060000,6.415000,6.500000,6.500000,25300
2017-04-25,6.860000,6.860000,6.110000,6.510000,6.510000,46500
2017-04-26,6.511000,6.780000,6.300000,6.460000,6.460000,13400
2017-04-27,6.760000,6.780000,6.410000,6.540000,6.540000,7400
2017-04-28,6.550000,7.160000,6.550000,6.640000,6.640000,23600
2017-05-01,7.052000,7.150000,6.750000,6.900000,6.900000,11200
2017-05-02,6.980000,7.100000,6.800000,6.820000,6.820000,10000
2017-05-03,6.910000,7.173000,6.800000,6.910000,6.910000,20300
2017-05-04,6.910000,7.488000,6.910000,7.400000,7.400000,29800
2017-05-05,7.570000,7.980000,6.600000,6.780000,6.780000,28800
2017-05-08,6.800000,6.810000,6.540000,6.540000,6.540000,9500
2017-05-09,7.270000,7.270000,6.710000,6.800000,6.800000,23000
2017-05-10,7.020000,7.140000,7.010000,7.140000,7.140000,600
