Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,4.820000,8.480000,4.820000,6.500000,6.500000,42000
2019-04-25,6.550000,6.566000,5.240000,5.920000,5.920000,94000
2019-04-26,5.920000,6.205000,5.670000,5.750000,5.750000,38600
2019-04-29,6.040000,6.070000,5.600000,5.700000,5.700000,31900
2019-04-30,5.980000,6.000000,5.500000,5.600000,5.600000,40700
2019-05-01,5.510000,5.510000,5.000000,5.035000,5.035000,45700
2019-05-02,4.910000,5.200000,4.900000,4.950000,4.950000,30400
2019-05-03,4.900000,5.190000,4.720000,5.050000,5.050000,46600
2019-05-06,5.050000,5.070000,4.750000,4.765000,4.765000,34700
2019-05-07,5.250000,5.520000,4.670000,4.730000,4.730000,29800
2019-05-08,4.850000,5.380000,4.850000,5.220000,5.220000,19400
2019-05-09,5.150000,5.450000,5.150000,5.270000,5.270000,34000
2019-05-10,5.360000,5.842000,5.360000,5.420000,5.420000,43600
2019-05-13,5.350000,5.500000,5.150000,5.250000,5.250000,19400
2019-05-14,5.320000,5.433000,5.200000,5.272000,5.272000,8100
2019-05-15,5.190000,5.360000,5.120000,5.120000,5.120000,8200
2019-05-16,5.160000,5.324000,5.150000,5.150000,5.150000,17400
2019-05-17,5.440000,5.560000,5.220000,5.400000,5.400000,28900
2019-05-20,5.416000,5.416000,4.750000,4.920000,4.920000,61300
2019-05-21,4.800000,4.964000,4.750000,4.780000,4.780000,7000
2019-05-22,4.760000,5.000000,4.750000,5.000000,5.000000,9900
2019-05-23,4.774000,4.898000,4.280000,4.490000,4.490000,22000
2019-05-24,4.415000,4.750000,4.330000,4.700000,4.700000,26700
2019-05-28,4.460000,4.760000,4.450000,4.450000,4.450000,4700
2019-05-29,4.640000,4.640000,4.196000,4.345000,4.345000,4400
2019-05-30,4.400000,4.650000,4.200000,4.475000,4.475000,11400
2019-05-31,4.150000,4.330000,4.150000,4.250000,4.250000,2600
2019-06-03,4.160000,4.435000,4.050000,4.190000,4.190000,15900
2019-06-04,4.080000,4.980000,3.890000,4.700000,4.700000,21800
2019-06-05,4.410000,4.500000,4.250000,4.270000,4.270000,20000
2019-06-06,4.230000,4.251000,4.200000,4.200000,4.200000,5100
2019-06-07,3.940000,4.330000,3.940000,4.000000,4.000000,7700
2019-06-10,4.020000,4.088000,3.900000,3.910000,3.910000,4900
