Date,Open,High,Low,Close,Adj Close,Volume
2020-11-24,1.300000,1.300000,1.200000,1.210000,1.210000,128900
2020-11-25,1.250000,1.300000,1.150000,1.150000,1.150000,108900
2020-11-27,1.300000,1.300000,1.200000,1.210000,1.210000,18800
2020-11-30,1.440000,1.440000,1.230000,1.230000,1.230000,35400
2020-12-01,1.388000,1.460000,1.260000,1.420000,1.420000,20300
2020-12-02,1.400000,1.430000,1.255000,1.260000,1.260000,120500
2020-12-03,1.270000,1.330000,1.210000,1.300000,1.300000,64700
2020-12-04,1.330000,1.500000,1.320000,1.440000,1.440000,207800
2020-12-07,1.550000,2.270000,1.400000,1.690000,1.690000,205700
2020-12-08,1.700000,1.800000,1.560000,1.590000,1.590000,105200
2020-12-09,1.580000,1.600000,1.460000,1.500000,1.500000,325400
2020-12-10,1.650000,1.700000,1.550000,1.560000,1.560000,204800
2020-12-11,1.650000,1.720000,1.520000,1.570000,1.570000,257600
2020-12-14,1.730000,1.840000,1.660000,1.750000,1.750000,183000
2020-12-15,1.810000,1.830000,1.600000,1.740000,1.740000,361300
2020-12-16,1.803000,1.840000,1.570000,1.770000,1.770000,255800
2020-12-17,1.820000,2.000000,1.790000,2.000000,2.000000,176300
2020-12-18,1.860000,1.970000,1.850000,1.950000,1.950000,63300
2020-12-21,1.990000,2.000000,1.800000,1.930000,1.930000,125200
2020-12-22,2.020000,2.020000,1.900000,1.910000,1.910000,134700
2020-12-23,1.960000,2.940000,1.950000,2.600000,2.600000,284400
2020-12-24,2.700000,3.100000,2.600000,2.820000,2.820000,210500
2020-12-28,3.060000,3.200000,2.400000,2.500000,2.500000,307100
2020-12-29,2.850000,2.900000,2.180000,2.400000,2.400000,157100
2020-12-30,2.450000,2.670000,2.350000,2.380000,2.380000,103600
2020-12-31,2.350000,2.400000,2.240000,2.301000,2.301000,62800
2021-01-04,2.450000,2.450000,2.100000,2.200000,2.200000,151300
2021-01-05,2.200000,2.330000,2.170000,2.255000,2.255000,61500
2021-01-06,2.340000,2.500000,2.220000,2.330000,2.330000,97000
2021-01-07,2.410000,2.660000,2.220000,2.320000,2.320000,171200
2021-01-08,2.600000,2.980000,2.330000,2.340000,2.340000,393300
2021-01-11,2.400000,2.590000,2.350000,2.360000,2.360000,527800
2021-01-12,6.390000,8.770000,6.200000,7.820000,7.820000,7817400
2021-01-13,7.490000,7.600000,6.770000,6.940000,6.940000,1798300
2021-01-14,7.678000,8.500000,7.400000,7.940000,7.940000,1235200
2021-01-15,8.200000,8.650000,7.500000,8.050000,8.050000,1722500
2021-01-19,8.980000,9.390000,8.290000,8.750000,8.750000,1787400
2021-01-20,8.940000,8.950000,8.420000,8.820000,8.820000,874600
2021-01-21,8.800000,8.800000,8.210000,8.380000,8.380000,1022000
2021-01-22,8.480000,8.980000,8.280000,8.700000,8.700000,663200
2021-01-25,8.800000,9.350000,8.500000,8.670000,8.670000,879600
2021-01-26,8.670000,8.758000,8.010000,8.010000,8.010000,745100
