Date,Open,High,Low,Close,Adj Close,Volume
2020-01-10,9.820000,9.820000,9.820000,9.820000,9.820000,150000
2020-01-13,9.820000,9.820000,9.820000,9.820000,9.820000,400000
2020-01-14,9.820000,9.820000,9.820000,9.820000,9.820000,0
2020-01-15,9.820000,9.820000,9.820000,9.820000,9.820000,0
2020-01-16,9.820000,9.820000,9.820000,9.820000,9.820000,0
2020-01-17,9.820000,9.820000,9.820000,9.820000,9.820000,100000
2020-01-21,9.820000,9.820000,9.820000,9.820000,9.820000,0
2020-01-22,9.860000,9.860000,9.850000,9.850000,9.850000,90900
2020-01-23,9.850000,9.850000,9.850000,9.850000,9.850000,0
2020-01-24,9.800000,9.880000,9.800000,9.880000,9.880000,109600
2020-01-27,9.880000,9.880000,9.850000,9.880000,9.880000,548100
2020-01-28,9.850000,9.850000,9.850000,9.850000,9.850000,119700
2020-01-29,9.850000,9.850000,9.850000,9.850000,9.850000,0
2020-01-30,9.870000,9.870000,9.870000,9.870000,9.870000,600
2020-01-31,9.870000,9.870000,9.870000,9.870000,9.870000,0
2020-02-03,9.870000,9.870000,9.870000,9.870000,9.870000,0
2020-02-04,9.870000,9.870000,9.870000,9.870000,9.870000,52500
2020-02-05,9.870000,9.870000,9.870000,9.870000,9.870000,0
2020-02-06,9.850000,9.850000,9.850000,9.850000,9.850000,325000
2020-02-07,9.850000,9.850000,9.850000,9.850000,9.850000,0
2020-02-10,9.940000,9.940000,9.940000,9.940000,9.940000,1000
2020-02-11,9.940000,9.940000,9.940000,9.940000,9.940000,0
2020-02-12,9.940000,9.940000,9.940000,9.940000,9.940000,0
2020-02-13,9.840000,9.840000,9.840000,9.840000,9.840000,250000
2020-02-14,9.840000,9.855000,9.840000,9.840000,9.840000,24800
2020-02-18,9.840000,9.840000,9.840000,9.840000,9.840000,0
2020-02-19,9.840000,9.932000,9.840000,9.932000,9.932000,45200
2020-02-20,9.850000,9.950000,9.850000,9.932000,9.932000,146700
2020-02-21,9.932000,9.932000,9.932000,9.932000,9.932000,0
2020-02-24,9.932000,9.932000,9.932000,9.932000,9.932000,0
2020-02-25,9.890000,9.890000,9.880000,9.880000,9.880000,222900
2020-02-26,9.930000,9.930000,9.880000,9.880000,9.880000,19000
2020-02-27,9.870000,9.870000,9.870000,9.870000,9.870000,100000
2020-02-28,9.870000,9.870000,9.870000,9.870000,9.870000,0
2020-03-02,9.880000,9.880000,9.880000,9.880000,9.880000,1200
2020-03-03,9.880000,9.880000,9.880000,9.880000,9.880000,0
2020-03-04,9.880000,9.880000,9.860000,9.860000,9.860000,600
2020-03-05,9.860000,9.860000,9.860000,9.860000,9.860000,7300
2020-03-06,9.860000,9.860000,9.860000,9.860000,9.860000,0
2020-03-09,9.760000,9.760000,9.760000,9.760000,9.760000,200000
2020-03-10,9.760000,9.760000,9.760000,9.760000,9.760000,0
2020-03-11,9.760000,9.761000,9.760000,9.760000,9.760000,7300
2020-03-12,9.720000,9.720000,9.700000,9.700000,9.700000,10600
2020-03-13,9.940000,9.940000,9.940000,9.940000,9.940000,100
2020-03-16,9.940000,9.940000,9.940000,9.940000,9.940000,0
2020-03-17,9.740000,9.750000,9.500000,9.500000,9.500000,11000
2020-03-18,9.500000,9.500000,9.500000,9.500000,9.500000,0
2020-03-19,9.500000,9.500000,9.500000,9.500000,9.500000,5400
2020-03-20,9.500000,9.600000,9.500000,9.553000,9.553000,95400
2020-03-23,9.710000,9.710000,9.450000,9.450000,9.450000,1200
2020-03-24,9.450000,9.450000,9.450000,9.450000,9.450000,0
2020-03-25,9.450000,9.450000,9.450000,9.450000,9.450000,0
2020-03-26,9.525000,9.550000,9.502000,9.502000,9.502000,84000
2020-03-27,9.550000,9.550000,9.550000,9.550000,9.550000,600
2020-03-30,9.500000,9.500000,9.500000,9.500000,9.500000,2800
2020-03-31,9.500000,9.500000,9.500000,9.500000,9.500000,32000
2020-04-01,9.650000,9.650000,9.650000,9.650000,9.650000,100
2020-04-02,9.650000,9.650000,9.650000,9.650000,9.650000,0
2020-04-03,9.650000,9.650000,9.650000,9.650000,9.650000,0
2020-04-06,9.500000,9.500000,9.500000,9.500000,9.500000,500
2020-04-07,9.500000,9.500000,9.500000,9.500000,9.500000,0
2020-04-08,9.500000,9.500000,9.500000,9.500000,9.500000,0
2020-04-09,9.500000,9.500000,9.500000,9.500000,9.500000,0
2020-04-13,9.500000,9.500000,9.500000,9.500000,9.500000,0
2020-04-14,9.649000,9.650000,9.610000,9.650000,9.650000,19900
2020-04-15,9.650000,9.650000,9.650000,9.650000,9.650000,0
2020-04-16,9.650000,9.650000,9.650000,9.650000,9.650000,0
2020-04-17,9.650000,9.650000,9.650000,9.650000,9.650000,0
2020-04-20,9.705000,9.705000,9.705000,9.705000,9.705000,100
2020-04-21,9.705000,9.705000,9.705000,9.705000,9.705000,0
2020-04-22,9.705000,9.705000,9.705000,9.705000,9.705000,0
2020-04-23,9.700000,9.701000,9.700000,9.700000,9.700000,36200
2020-04-24,9.700000,9.700000,9.700000,9.700000,9.700000,0
2020-04-27,9.700000,9.700000,9.700000,9.700000,9.700000,0
2020-04-28,9.700000,9.700000,9.700000,9.700000,9.700000,0
2020-04-29,9.700000,9.700000,9.700000,9.700000,9.700000,150000
2020-04-30,9.700000,9.700000,9.700000,9.700000,9.700000,0
2020-05-01,9.750000,9.750000,9.750000,9.750000,9.750000,25000
2020-05-04,9.750000,9.750000,9.750000,9.750000,9.750000,0
2020-05-05,9.750000,9.750000,9.750000,9.750000,9.750000,0
2020-05-06,9.750000,9.750000,9.750000,9.750000,9.750000,0
2020-05-07,9.750000,9.750000,9.750000,9.750000,9.750000,0
2020-05-08,9.704000,9.704000,9.704000,9.704000,9.704000,100
