Date,Open,High,Low,Close,Adj Close,Volume
2001-06-21,11.445848,11.445848,11.445848,11.445848,5.599782,0
2001-06-22,11.445848,11.445848,11.445848,11.445848,5.599782,0
2001-06-25,11.445848,11.445848,11.445848,11.445848,5.599782,0
2001-06-26,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-06-27,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-06-28,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-06-29,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-07-02,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-07-03,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-07-05,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-07-06,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-07-09,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-07-10,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-11,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-12,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-13,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-16,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-17,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-18,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-19,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-20,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-23,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-24,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-25,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-26,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-27,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-30,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-07-31,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-01,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-02,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-03,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-06,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-07,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-08,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-09,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-10,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-13,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-14,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-08-15,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-16,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-17,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-20,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-21,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-22,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-23,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-24,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-27,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-28,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-29,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-30,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-08-31,12.344239,12.344239,12.344239,12.344239,6.039311,0
2001-09-04,10.366051,10.366051,10.366051,10.366051,5.071501,0
2001-09-05,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-06,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-07,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-10,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-17,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-18,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-19,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-20,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-21,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-24,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-25,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-26,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-27,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-09-28,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-01,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-02,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-03,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-04,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-05,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-08,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-09,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-10,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-11,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-12,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-15,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-16,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-17,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-18,12.093726,12.093726,12.093726,12.093726,5.916751,0
2001-10-19,12.292409,12.292409,12.292409,12.292409,6.013955,0
2001-10-22,12.292409,12.292409,12.292409,12.292409,6.013955,0
2001-10-23,12.292409,12.292409,12.292409,12.292409,6.013955,0
2001-10-24,12.292409,12.292409,12.292409,12.292409,6.013955,0
2001-10-25,12.292409,12.292409,12.292409,12.292409,6.013955,0
2001-10-26,12.292409,12.292409,12.292409,12.292409,6.013955,0
2001-10-29,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-10-30,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-10-31,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-01,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-02,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-05,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-06,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-07,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-08,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-09,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-12,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-13,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-14,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-15,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-16,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-19,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-20,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-21,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-23,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-26,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-27,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-28,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-29,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-11-30,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-03,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-04,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-05,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-06,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-07,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-10,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-11,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-12,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-13,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-14,10.797970,10.797970,10.797970,10.797970,5.282814,0
2001-12-17,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-18,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-19,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-20,12.309686,12.309686,12.309686,12.309686,6.022408,0
2001-12-21,12.309686,12.309686,12.309686,12.309686,6.022408,0
