Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,23.500000,25.738001,23.500000,24.770000,24.770000,6488400
2018-05-29,24.480000,25.330000,24.299999,24.950001,24.950001,2382300
2018-05-30,25.100000,26.000000,24.820000,25.730000,25.730000,1978100
2018-05-31,25.820000,27.000000,25.750000,26.770000,26.770000,3420200
2018-06-01,26.910000,27.014999,26.552999,26.660000,26.660000,1332300
2018-06-04,26.670000,26.879999,25.150000,25.340000,25.340000,1383200
2018-06-05,25.400000,25.850000,25.350000,25.540001,25.540001,442400
2018-06-06,25.469999,25.674999,24.340000,24.510000,24.510000,553600
2018-06-07,24.360001,24.490000,22.570000,22.950001,22.950001,2604400
2018-06-08,22.950001,24.020000,22.851000,23.790001,23.790001,752800
2018-06-11,23.850000,24.670000,23.459999,24.070000,24.070000,753400
2018-06-12,23.980000,24.589001,23.900000,24.260000,24.260000,687600
2018-06-13,24.260000,24.600000,24.000000,24.129999,24.129999,328100
2018-06-14,24.070000,25.230000,23.400000,24.459999,24.459999,419900
2018-06-15,24.270000,24.749001,23.850000,24.240000,24.240000,272800
2018-06-18,25.000000,25.200001,24.100000,24.430000,24.430000,1657500
2018-06-19,24.900000,24.900000,22.940001,23.990000,23.990000,907600
2018-06-20,24.360001,24.360001,23.320000,23.750000,23.750000,1274600
2018-06-21,23.750000,24.040001,23.559999,23.690001,23.690001,419100
2018-06-22,23.700001,24.520000,23.350000,24.160000,24.160000,1273200
2018-06-25,23.900000,23.900000,23.000000,23.190001,23.190001,911300
2018-06-26,23.200001,23.700001,22.040001,22.040001,22.040001,1056000
2018-06-27,22.040001,22.090000,19.500000,20.110001,20.110001,3257700
2018-06-28,20.110001,21.280001,19.900000,21.190001,21.190001,1156900
2018-06-29,21.340000,21.768999,21.139999,21.150000,21.150000,490600
2018-07-02,21.080000,21.184999,20.420000,20.600000,20.600000,327900
2018-07-03,20.700001,21.243000,20.520000,20.730000,20.730000,268300
2018-07-05,20.809999,21.230000,20.370001,21.139999,21.139999,351400
2018-07-06,21.010000,21.990000,20.830000,21.360001,21.360001,379300
2018-07-09,21.340000,22.129999,21.200001,21.870001,21.870001,615800
2018-07-10,21.850000,22.670000,21.580000,21.799999,21.799999,537100
2018-07-11,21.790001,21.850000,20.830000,21.110001,21.110001,647100
2018-07-12,21.320000,21.976999,20.139999,20.309999,20.309999,793600
2018-07-13,20.209999,20.370001,19.059999,19.270000,19.270000,1410200
2018-07-16,19.270000,19.549999,18.920000,19.059999,19.059999,860600
2018-07-17,18.950001,19.100000,18.500000,18.840000,18.840000,574500
2018-07-18,18.879999,20.080000,18.662001,19.865000,19.865000,852000
2018-07-19,19.969999,20.145000,19.230000,19.709999,19.709999,357800
2018-07-20,19.660000,19.980000,19.139999,19.510000,19.510000,241800
2018-07-23,19.629999,19.940001,19.200001,19.600000,19.600000,488300
2018-07-24,19.770000,19.900000,18.900000,19.250000,19.250000,417300
2018-07-25,19.250000,19.420000,19.059999,19.160000,19.160000,267400
2018-07-26,19.270000,19.480000,18.440001,18.450001,18.450001,588000
2018-07-27,18.590000,19.000000,17.521000,17.799999,17.799999,769800
2018-07-30,17.889999,18.240000,17.230000,17.290001,17.290001,516900
2018-07-31,17.240000,17.600000,17.150000,17.299999,17.299999,777900
2018-08-01,17.280001,18.600000,17.230000,17.889999,17.889999,730000
2018-08-02,17.809999,18.094999,17.500000,17.900000,17.900000,948500
2018-08-03,17.809999,18.568001,17.670000,17.850000,17.850000,449400
2018-08-06,19.200001,21.450001,19.200001,21.230000,21.230000,3755100
2018-08-07,22.000000,22.299999,18.500000,18.910000,18.910000,4374500
2018-08-08,19.080000,19.200001,17.500000,18.160000,18.160000,1619600
2018-08-09,18.260000,18.451000,16.850000,16.860001,16.860001,2598400
2018-08-10,16.920000,17.139000,15.410000,15.590000,15.590000,3608000
2018-08-13,15.800000,15.910000,14.490000,14.500000,14.500000,3914600
2018-08-14,14.890000,15.850000,14.750000,15.390000,15.390000,4833000
2018-08-15,15.300000,16.190001,14.900000,15.910000,15.910000,2142400
