Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,12.590000,12.590000,11.800000,12.200000,12.200000,1371400
2021-01-05,12.150000,12.280000,12.090000,12.150000,12.150000,1304000
2021-01-06,12.150000,12.200000,11.890000,12.120000,12.120000,1105700
2021-01-07,12.200000,22.000000,12.050000,19.139999,19.139999,64877000
2021-01-08,21.459999,22.000000,17.889999,18.740000,18.740000,35657000
2021-01-11,19.370001,19.750000,18.650000,18.990000,18.990000,11702200
2021-01-12,18.980000,19.190001,18.250000,18.450001,18.450001,7138600
2021-01-13,18.900000,19.590000,18.530001,19.110001,19.110001,8226400
2021-01-14,19.400000,19.450001,18.920000,19.160000,19.160000,7705100
2021-01-15,19.320000,21.049999,19.110001,20.160000,20.160000,13024900
2021-01-19,21.900000,24.219999,21.059999,22.590000,22.590000,22266200
2021-01-20,23.860001,24.620001,22.110001,22.370001,22.370001,10236100
2021-01-21,23.000000,23.049999,21.500000,22.389999,22.389999,6971500
2021-01-22,22.090000,22.990000,21.190001,21.650000,21.650000,6727300
2021-01-25,22.160000,22.850000,20.000000,20.480000,20.480000,9701800
2021-01-26,20.400000,21.320000,19.500000,19.570000,19.570000,9172400
2021-01-27,19.000000,19.250000,17.900000,18.180000,18.180000,16297600
2021-01-28,20.420000,20.920000,19.100000,20.280001,20.280001,12032100
2021-01-29,23.190001,26.969999,21.799999,25.139999,25.139999,36434600
2021-02-01,25.850000,28.260000,25.139999,25.780001,25.780001,18319100
2021-02-02,26.010000,26.180000,23.850000,24.330000,24.330000,8973900
2021-02-03,24.799999,25.750000,24.510000,24.950001,24.950001,4251500
2021-02-04,24.070000,25.120001,23.420000,25.059999,25.059999,8449800
2021-02-05,24.290001,24.520000,22.900000,23.100000,23.100000,12226800
2021-02-08,23.400000,24.389999,22.799999,23.000000,23.000000,7344500
2021-02-09,22.930000,24.000000,22.750000,23.120001,23.120001,6375300
2021-02-10,23.700001,23.790001,22.250000,22.990000,22.990000,6308100
2021-02-11,23.000000,23.950001,22.320000,23.070000,23.070000,8551100
2021-02-12,22.840000,24.480000,22.809999,23.900000,23.900000,5847400
2021-02-16,24.450001,24.700001,23.559999,24.299999,24.299999,6134900
2021-02-17,24.270000,24.299999,23.000000,23.879999,23.879999,4731300
2021-02-18,22.600000,23.320000,22.260000,23.230000,23.230000,5747000
2021-02-19,23.500000,23.600000,22.600000,22.690001,22.690001,5138800
2021-02-22,22.500000,22.837000,21.020000,21.290001,21.290001,6530300
2021-02-23,19.990000,20.600000,16.840000,20.120001,20.120001,12561900
2021-02-24,20.000000,20.299999,19.000000,19.410000,19.410000,7947300
2021-02-25,20.430000,21.000000,18.525000,18.719999,18.719999,7962300
2021-02-26,18.850000,19.219999,17.767000,18.430000,18.430000,9106700
2021-03-01,19.740000,19.850000,19.049999,19.340000,19.340000,4422200
2021-03-02,19.400000,19.610001,18.620001,18.770000,18.770000,3809000
