Date,Open,High,Low,Close,Adj Close,Volume
2021-04-28,9.740000,9.740000,9.700000,9.700000,9.700000,5000
2021-04-29,9.990000,10.000000,9.900000,9.900000,9.900000,2500
2021-04-30,9.810000,10.200000,9.710000,9.710000,9.710000,8200
2021-05-03,9.720000,9.760000,9.720000,9.760000,9.760000,1900
2021-05-04,9.760000,9.760000,9.760000,9.760000,9.760000,0
2021-05-05,9.750000,9.750000,9.720000,9.740000,9.740000,1700
2021-05-06,9.720000,9.720000,9.700000,9.700000,9.700000,2800
2021-05-07,9.710000,9.740000,9.690000,9.690000,9.690000,18500
2021-05-10,9.690000,9.720000,9.680000,9.720000,9.720000,1500
2021-05-11,9.700000,9.700000,9.690000,9.690000,9.690000,2500
2021-05-12,9.680000,9.700000,9.650000,9.650000,9.650000,4300
2021-05-13,9.650000,9.660000,9.630000,9.630000,9.630000,4100
2021-05-14,9.630000,9.700000,9.620000,9.700000,9.700000,8800
2021-05-17,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-05-18,10.630000,10.630000,9.660000,9.740000,9.740000,172500
2021-05-19,9.640000,9.640000,9.640000,9.640000,9.640000,200
2021-05-20,9.640000,9.640000,9.640000,9.640000,9.640000,0
2021-05-21,9.720000,9.720000,9.630000,9.700000,9.700000,2300
2021-05-24,9.700000,9.700000,9.700000,9.700000,9.700000,100
2021-05-25,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-05-26,9.685000,9.703000,9.660000,9.660000,9.660000,1600
2021-05-27,9.660000,9.660000,9.660000,9.660000,9.660000,0
2021-05-28,9.660000,9.660000,9.660000,9.660000,9.660000,0
2021-06-01,9.660000,9.660000,9.660000,9.660000,9.660000,0
2021-06-02,9.950000,9.950000,9.710000,9.710000,9.710000,1300
2021-06-03,9.720000,9.720000,9.720000,9.720000,9.720000,300
2021-06-04,9.650000,9.650000,9.615000,9.640000,9.640000,417000
2021-06-07,9.680000,9.680000,9.650000,9.660000,9.660000,16900
2021-06-08,9.690000,9.690000,9.690000,9.690000,9.690000,300
2021-06-09,9.710000,9.710000,9.700000,9.710000,9.710000,500
2021-06-10,9.700000,9.700000,9.680000,9.700000,9.700000,12900
2021-06-11,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-06-14,9.650000,9.740000,9.650000,9.650000,9.650000,13800
2021-06-15,9.690000,9.730000,9.690000,9.730000,9.730000,200
2021-06-16,9.730000,9.730000,9.730000,9.730000,9.730000,0
2021-06-17,9.710000,9.710000,9.710000,9.710000,9.710000,100
2021-06-18,9.710000,9.710000,9.710000,9.710000,9.710000,100
2021-06-21,9.710000,9.710000,9.710000,9.710000,9.710000,0
2021-06-22,9.700000,9.710000,9.660000,9.710000,9.710000,3300
2021-06-23,9.720000,9.720000,9.700000,9.700000,9.700000,11900
2021-06-24,9.620000,9.690000,9.620000,9.690000,9.690000,10600
2021-06-25,9.770000,9.770000,9.690000,9.700000,9.700000,16200
2021-06-28,9.630000,9.700000,9.630000,9.680000,9.680000,4000
2021-06-29,9.730000,9.730000,9.730000,9.730000,9.730000,500
2021-06-30,9.690000,9.740000,9.690000,9.701000,9.701000,31200
2021-07-01,9.860000,9.861000,9.740000,9.740000,9.740000,468900
2021-07-02,9.750000,9.815000,9.720000,9.730000,9.730000,150200
2021-07-06,9.790000,9.810000,9.730000,9.730000,9.730000,186400
2021-07-07,9.710000,9.750000,9.700000,9.700000,9.700000,6500
2021-07-08,9.750000,9.751000,9.710000,9.750000,9.750000,7200
2021-07-09,9.744000,9.750000,9.680000,9.730000,9.730000,95100
2021-07-12,9.750000,9.800000,9.700000,9.770000,9.770000,32800
2021-07-13,9.760000,9.760000,9.700000,9.740000,9.740000,11300
2021-07-14,9.700000,9.752000,9.700000,9.739000,9.739000,1300
2021-07-15,9.717000,9.725000,9.650000,9.725000,9.725000,6900
2021-07-16,9.720000,9.730000,9.696000,9.710000,9.710000,5400
2021-07-19,9.730000,9.730000,9.681000,9.690000,9.690000,4500
2021-07-20,9.700000,9.710000,9.690000,9.710000,9.710000,2700
2021-07-21,9.686000,9.710000,9.686000,9.705000,9.705000,129300
2021-07-22,9.730000,9.730000,9.690000,9.690000,9.690000,3600
2021-07-23,9.705000,9.730000,9.700000,9.730000,9.730000,3800
2021-07-26,9.710000,9.720000,9.710000,9.720000,9.720000,5300
2021-07-27,9.680000,9.680000,9.680000,9.680000,9.680000,1600
2021-07-28,9.730000,9.730000,9.730000,9.730000,9.730000,600
2021-07-29,9.760000,9.760000,9.700000,9.710000,9.710000,5900
2021-07-30,9.720000,9.720000,9.720000,9.720000,9.720000,200
2021-08-02,9.705000,9.730000,9.700000,9.700000,9.700000,2100
2021-08-03,9.725000,9.725000,9.700000,9.700000,9.700000,3700
2021-08-04,9.770000,10.000000,9.700000,9.700000,9.700000,83800
2021-08-05,9.800000,9.800000,9.680000,9.700000,9.700000,19400
2021-08-06,9.670000,9.677000,9.630000,9.650000,9.650000,39500
2021-08-09,9.640000,9.690000,9.640000,9.670000,9.670000,13400
2021-08-10,9.670000,9.670000,9.670000,9.670000,9.670000,1200
2021-08-11,9.660000,9.670000,9.660000,9.670000,9.670000,2000
2021-08-12,9.680000,9.680000,9.680000,9.680000,9.680000,200
2021-08-13,9.670100,9.740000,9.670000,9.670000,9.670000,4113
