Date,Open,High,Low,Close,Adj Close,Volume
2018-06-22,28.000000,30.000000,25.000000,25.000000,25.000000,3153600
2018-06-25,24.700001,26.950001,24.070000,26.190001,26.190001,478600
2018-06-26,26.510000,27.959999,25.500000,27.750000,27.750000,380000
2018-06-27,27.790001,27.790001,25.344999,26.639999,26.639999,180100
2018-06-28,25.076000,26.809999,25.076000,26.180000,26.180000,186700
2018-06-29,26.240000,26.900000,24.572001,26.790001,26.790001,169300
2018-07-02,26.719999,27.735001,24.770000,25.030001,25.030001,149500
2018-07-03,25.209999,25.407000,23.540001,23.840000,23.840000,102000
2018-07-05,24.000000,26.820000,23.860001,26.360001,26.360001,138400
2018-07-06,26.330000,27.388000,25.735001,26.340000,26.340000,113300
2018-07-09,26.820000,26.990000,25.030001,25.980000,25.980000,41600
2018-07-10,25.760000,26.660000,25.735001,25.910000,25.910000,29400
2018-07-11,25.799999,26.240000,22.851000,23.309999,23.309999,153200
2018-07-12,23.500000,24.170000,20.879999,21.110001,21.110001,155600
2018-07-13,21.150000,23.450001,20.219999,20.860001,20.860001,280000
2018-07-16,20.490000,23.070000,19.173000,22.750000,22.750000,359200
2018-07-17,23.400000,24.830999,21.190001,21.770000,21.770000,300800
2018-07-18,21.709999,23.370001,21.709999,22.600000,22.600000,120300
2018-07-19,22.530001,23.459999,21.525999,23.360001,23.360001,67500
2018-07-20,23.090000,25.590000,23.090000,25.200001,25.200001,95100
2018-07-23,25.500000,26.750000,24.230000,24.910000,24.910000,59100
2018-07-24,25.180000,25.180000,23.250000,23.500000,23.500000,37600
2018-07-25,23.698000,26.100000,23.698000,24.350000,24.350000,178500
2018-07-26,24.250000,25.559999,23.660000,24.490000,24.490000,65000
2018-07-27,24.500000,24.930000,23.600000,24.209999,24.209999,49400
2018-07-30,24.590000,24.900000,23.160000,23.680000,23.680000,75100
2018-07-31,23.760000,23.899000,22.910000,23.480000,23.480000,54900
2018-08-01,23.459999,24.483000,22.780001,23.360001,23.360001,181600
2018-08-02,23.299999,24.400000,22.250999,23.850000,23.850000,204700
2018-08-03,23.820000,25.951000,23.260000,23.600000,23.600000,50600
2018-08-06,23.100000,24.750000,23.100000,24.389999,24.389999,70300
2018-08-07,24.580000,25.969999,24.440001,25.230000,25.230000,38300
2018-08-08,25.239000,25.840000,24.886000,25.280001,25.280001,18200
2018-08-09,25.120001,25.938000,24.840000,24.840000,24.840000,9300
2018-08-10,24.639999,26.900000,24.639999,26.900000,26.900000,30900
2018-08-13,26.900000,28.250000,25.559999,27.900000,27.900000,29500
2018-08-14,27.920000,28.480000,26.010000,27.670000,27.670000,38100
2018-08-15,27.610001,28.750000,26.730000,28.500000,28.500000,99500
2018-08-16,28.500000,31.849001,27.434999,30.400000,30.400000,21700
2018-08-17,30.200001,32.000000,29.563000,30.629999,30.629999,45100
2018-08-20,30.430000,31.475000,29.430000,29.750000,29.750000,43400
2018-08-21,30.590000,31.969000,29.150000,29.150000,29.150000,12200
2018-08-22,29.459999,30.139999,28.145000,29.600000,29.600000,7900
2018-08-23,30.745001,30.990000,28.469999,28.900000,28.900000,22400
2018-08-24,29.959999,30.930000,28.209999,29.040001,29.040001,11100
2018-08-27,28.850000,29.500000,27.806000,29.500000,29.500000,14200
2018-08-28,28.510000,30.139999,28.510000,29.230000,29.230000,9800
2018-08-29,29.270000,30.025000,28.135000,29.750000,29.750000,8700
2018-08-30,30.320999,30.441999,28.010000,29.920000,29.920000,9000
2018-08-31,30.922001,30.980000,27.840000,29.700001,29.700001,9000
2018-09-04,29.700001,30.940001,28.500000,29.260000,29.260000,29800
2018-09-05,29.299999,30.441999,28.000000,29.940001,29.940001,26600
2018-09-06,30.145000,31.730000,28.549999,29.639999,29.639999,102700
2018-09-07,29.200001,33.500000,29.200001,31.000000,31.000000,31300
2018-09-10,32.150002,33.500000,31.170000,33.330002,33.330002,15400
2018-09-11,33.099998,33.200001,29.895000,31.250000,31.250000,37400
2018-09-12,30.650000,30.650000,29.670000,29.730000,29.730000,22800
2018-09-13,29.820000,30.000000,28.320000,28.700001,28.700001,25900
2018-09-14,29.030001,31.480000,26.799999,30.000000,30.000000,129400
2018-09-17,30.000000,30.000000,28.535999,29.840000,29.840000,2500
2018-09-18,30.000000,30.492001,28.841000,29.049999,29.049999,8300
2018-09-19,28.260000,30.500000,27.854000,29.440001,29.440001,20700
2018-09-20,28.700001,29.389999,26.629999,28.500000,28.500000,140400
2018-09-21,27.920000,29.799999,27.341999,29.639999,29.639999,68300
2018-09-24,29.420000,29.420000,26.129999,27.200001,27.200001,85300
2018-09-25,27.200001,27.700001,26.219999,27.250000,27.250000,151200
2018-09-26,27.469999,27.469999,26.556999,27.100000,27.100000,8300
2018-09-27,28.950001,29.375000,27.500000,29.030001,29.030001,30900
2018-09-28,29.350000,31.879999,28.670000,30.670000,30.670000,32700
2018-10-01,30.639999,32.000000,29.420000,30.639999,30.639999,54300
2018-10-02,30.850000,30.850000,29.500000,29.809999,29.809999,49400
2018-10-03,29.850000,30.840000,28.500000,28.660000,28.660000,7700
2018-10-04,28.629999,29.722000,23.870001,24.709999,24.709999,58100
2018-10-05,26.295000,28.200001,25.290001,27.500000,27.500000,104500
2018-10-08,27.760000,30.950001,27.760000,28.639999,28.639999,22500
2018-10-09,28.420000,28.825001,27.000000,27.120001,27.120001,28000
2018-10-10,27.139999,28.000000,24.600000,24.650000,24.650000,33700
2018-10-11,25.059999,25.500000,23.305000,24.209999,24.209999,8200
2018-10-12,25.010000,26.469999,24.209999,25.500000,25.500000,45300
2018-10-15,25.350000,26.000000,24.250000,24.889999,24.889999,39300
