Date,Open,High,Low,Close,Adj Close,Volume
2018-03-29,4.680000,5.500000,4.500000,4.700000,4.700000,147600
2018-04-02,4.950000,4.950000,4.380000,4.500000,4.500000,30000
2018-04-03,4.500000,4.500000,3.940000,4.100000,4.100000,42800
2018-04-04,3.950000,4.250000,3.840000,3.840000,3.840000,37400
2018-04-05,3.950000,4.180000,3.950000,4.137000,4.137000,17200
2018-04-06,4.500000,5.890000,4.314000,5.450000,5.450000,242000
2018-04-09,6.230000,6.230000,5.000000,5.050000,5.050000,240000
2018-04-10,5.030000,5.500000,4.720000,4.720000,4.720000,55200
2018-04-11,5.140000,5.300000,4.880000,5.090000,5.090000,65300
2018-04-12,5.090000,5.389000,5.000000,5.020000,5.020000,24500
2018-04-13,5.010000,5.240000,5.010000,5.130000,5.130000,24800
2018-04-16,5.150000,5.250000,4.570000,4.850000,4.850000,27000
2018-04-17,4.910000,5.050000,4.810000,4.810000,4.810000,11000
2018-04-18,4.800000,4.980000,4.350000,4.610000,4.610000,14200
2018-04-19,4.650000,4.650000,4.003000,4.250000,4.250000,18000
2018-04-20,4.000000,4.300000,4.000000,4.280000,4.280000,26100
2018-04-23,4.290000,4.528000,4.265000,4.445000,4.445000,27000
2018-04-24,4.500000,5.239000,4.410000,4.980000,4.980000,84300
2018-04-25,5.250000,5.940000,5.120000,5.890000,5.890000,394100
2018-04-26,5.900000,18.389999,5.890000,11.000000,11.000000,3934100
2018-04-27,14.000000,17.900000,12.050000,15.210000,15.210000,4839800
2018-04-30,18.000000,19.450001,14.500000,15.490000,15.490000,2185600
2018-05-01,14.370000,14.480000,12.810000,13.200000,13.200000,782800
2018-05-02,12.500000,15.880000,12.366000,14.000000,14.000000,885900
2018-05-03,14.010000,15.000000,13.170000,14.370000,14.370000,169900
2018-05-04,14.370000,14.650000,13.897000,14.200000,14.200000,113500
2018-05-07,15.000000,15.000000,13.550000,13.800000,13.800000,106600
2018-05-08,15.000000,18.440001,14.210000,15.900000,15.900000,741200
2018-05-09,17.000000,17.000000,14.300000,15.370000,15.370000,174300
2018-05-10,15.080000,15.087000,13.250000,13.330000,13.330000,178800
2018-05-11,13.130000,13.130000,10.700000,10.870000,10.870000,318600
2018-05-14,10.590000,10.800000,8.170000,8.800000,8.800000,435900
2018-05-15,8.740000,10.760000,8.520000,10.580000,10.580000,337500
2018-05-16,10.740000,11.940000,10.000000,11.780000,11.780000,244400
2018-05-17,11.900000,12.669000,10.560000,11.590000,11.590000,264700
2018-05-18,11.880000,12.000000,10.630000,10.790000,10.790000,34100
2018-05-21,10.720000,10.720000,9.500000,10.220000,10.220000,69800
2018-05-22,10.000000,10.320000,10.000000,10.100000,10.100000,23800
2018-05-23,10.010000,10.300000,9.660000,9.800000,9.800000,91200
2018-05-24,9.860000,10.100000,9.572000,10.020000,10.020000,37200
2018-05-25,10.000000,10.000000,8.760000,8.860000,8.860000,96500
2018-05-29,8.860000,9.580000,8.860000,9.290000,9.290000,40800
2018-05-30,9.390000,9.630000,8.900000,9.510000,9.510000,68800
2018-05-31,10.910000,12.240000,10.290000,10.490000,10.490000,250400
2018-06-01,10.550000,11.419000,10.550000,10.750000,10.750000,120000
2018-06-04,10.990000,11.214000,10.000000,10.860000,10.860000,96200
2018-06-05,10.760000,10.850000,10.345000,10.770000,10.770000,43900
2018-06-06,10.560000,11.200000,10.560000,10.660000,10.660000,57500
2018-06-07,10.650000,11.200000,10.650000,10.690000,10.690000,36200
2018-06-08,10.880000,10.939000,9.781000,10.330000,10.330000,72300
2018-06-11,10.270000,10.500000,9.620000,9.670000,9.670000,105700
2018-06-12,9.670000,9.990000,9.200000,9.350000,9.350000,41800
2018-06-13,9.400000,9.420000,8.900000,8.900000,8.900000,65500
2018-06-14,8.970000,9.695000,8.020000,8.220000,8.220000,105800
2018-06-15,8.250000,8.540000,7.680000,7.820000,7.820000,97800
2018-06-18,7.780000,8.240000,7.640000,7.800000,7.800000,42300
2018-06-19,7.780000,7.780000,6.070000,6.900000,6.900000,124900
2018-06-20,6.730000,7.642000,6.500000,7.420000,7.420000,55200
2018-06-21,7.420000,8.223000,7.200000,7.910000,7.910000,46400
2018-06-22,7.940000,8.460000,7.630000,8.160000,8.160000,36800
2018-06-25,8.120000,8.120000,7.500000,7.725000,7.725000,24900
2018-06-26,8.320000,10.280000,8.000000,8.610000,8.610000,316400
2018-06-27,8.700000,9.100000,8.010000,8.010000,8.010000,65400
2018-06-28,8.030000,8.312000,7.500000,7.900000,7.900000,47900
2018-06-29,7.835000,8.148000,7.640000,7.663000,7.663000,17400
2018-07-02,7.540000,7.944000,7.500000,7.710000,7.710000,16100
