Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,10.650000,10.830000,9.600000,10.000000,10.000000,2222300
2020-02-13,10.350000,10.750000,9.950000,10.500000,10.500000,622800
2020-02-14,10.660000,10.820000,10.500000,10.600000,10.600000,580500
2020-02-18,10.700000,10.980000,10.270000,10.500000,10.500000,247100
2020-02-19,10.500000,10.550000,10.200000,10.470000,10.470000,126600
2020-02-20,10.500000,10.640000,10.330000,10.530000,10.530000,129600
2020-02-21,10.540000,10.859000,10.350000,10.710000,10.710000,500100
2020-02-24,10.520000,10.580000,10.360000,10.470000,10.470000,124700
2020-02-25,10.520000,10.620000,10.500000,10.590000,10.590000,138600
2020-02-26,10.560000,12.971000,10.540000,12.350000,12.350000,473400
2020-02-27,12.600000,13.500000,11.596000,12.080000,12.080000,353200
2020-02-28,12.210000,12.900000,11.590000,12.690000,12.690000,107900
2020-03-02,13.000000,14.790000,12.550000,14.490000,14.490000,139100
2020-03-03,14.800000,14.800000,13.390000,13.390000,13.390000,160400
2020-03-04,13.710000,14.030000,11.950000,12.280000,12.280000,211600
2020-03-05,12.540000,13.030000,10.550000,10.860000,10.860000,235000
2020-03-06,10.700000,11.330000,10.500000,10.920000,10.920000,86400
2020-03-09,10.200000,10.480000,9.040000,9.810000,9.810000,104000
2020-03-10,10.010000,10.380000,9.860000,9.910000,9.910000,51300
2020-03-11,9.850000,10.050000,9.510000,9.540000,9.540000,53500
2020-03-12,9.000000,9.000000,7.470000,7.760000,7.760000,234400
2020-03-13,8.200000,8.790000,7.700000,8.260000,8.260000,69800
2020-03-16,7.420000,7.420000,6.420000,7.010000,7.010000,59900
2020-03-17,7.300000,8.090000,7.300000,8.090000,8.090000,28700
2020-03-18,7.990000,8.250000,7.430000,8.250000,8.250000,30300
2020-03-19,8.160000,9.370000,8.160000,9.250000,9.250000,14600
2020-03-20,9.140000,9.240000,8.500000,8.870000,8.870000,3900
2020-03-23,9.150000,9.180000,8.600000,8.760000,8.760000,24800
2020-03-24,9.150000,9.300000,8.900000,8.930000,8.930000,12400
2020-03-25,9.200000,9.580000,8.880000,9.560000,9.560000,19000
2020-03-26,9.510000,9.600000,9.150000,9.400000,9.400000,30100
2020-03-27,9.030000,9.030000,8.450000,8.800000,8.800000,11900
2020-03-30,8.780000,8.876000,8.520000,8.520000,8.520000,12200
2020-03-31,8.470000,8.520000,8.000000,8.050000,8.050000,15500
2020-04-01,7.510000,7.762000,7.500000,7.500000,7.500000,21900
2020-04-02,7.000000,7.000000,6.510000,6.990000,6.990000,113900
2020-04-03,6.790000,6.790000,6.300000,6.350000,6.350000,52400
2020-04-06,6.350000,6.440000,5.940000,6.000000,6.000000,75100
2020-04-07,6.000000,6.165000,5.950000,5.990000,5.990000,54000
2020-04-08,5.870000,6.030000,5.480000,5.640000,5.640000,70700
2020-04-09,5.630000,5.630000,5.270000,5.450000,5.450000,64500
2020-04-13,5.990000,5.990000,4.830000,5.170000,5.170000,87000
2020-04-14,5.170000,5.170000,4.930000,5.030000,5.030000,52400
2020-04-15,5.280000,5.600000,5.050000,5.480000,5.480000,152800
2020-04-16,6.030000,6.880000,5.900000,6.400000,6.400000,280800
2020-04-17,6.750000,6.750000,6.190000,6.366000,6.366000,110500
2020-04-20,6.100000,6.580000,5.909000,6.510000,6.510000,175000
2020-04-21,6.390000,7.310000,6.050000,7.290000,7.290000,116900
2020-04-22,7.290000,7.670000,6.786000,7.550000,7.550000,56900
2020-04-23,7.410000,7.550000,7.100000,7.550000,7.550000,28400
2020-04-24,7.330000,7.870000,7.188000,7.870000,7.870000,31900
2020-04-27,7.780000,7.890000,7.600000,7.890000,7.890000,51400
2020-04-28,7.670000,7.810000,7.500000,7.810000,7.810000,24300
2020-04-29,7.690000,7.850000,7.570000,7.810000,7.810000,25400
2020-04-30,7.690000,7.800000,7.510000,7.590000,7.590000,12300
2020-05-01,7.380000,7.640000,7.250000,7.250000,7.250000,16200
2020-05-04,7.204000,7.337000,7.150000,7.150000,7.150000,22100
2020-05-05,7.200000,7.460000,7.200000,7.330000,7.330000,3500
2020-05-06,7.130000,7.280000,7.000000,7.030000,7.030000,22300
2020-05-07,7.000000,7.030000,6.990000,7.030000,7.030000,11600
2020-05-08,7.290000,7.300000,6.900000,7.250000,7.250000,11200
2020-05-11,7.280000,7.400000,6.910000,7.100000,7.100000,19100
2020-05-12,7.100000,7.100000,6.900000,6.900000,6.900000,21800
2020-05-13,7.000000,7.000000,6.250000,6.590000,6.590000,52400
2020-05-14,6.620000,6.620000,6.250000,6.260000,6.260000,14100
2020-05-15,6.256000,6.390000,6.250000,6.310000,6.310000,4300
2020-05-18,6.320000,6.700000,6.320000,6.700000,6.700000,2000
2020-05-19,7.000000,7.000000,6.060000,6.100000,6.100000,18800
2020-05-20,6.110000,6.540000,6.110000,6.540000,6.540000,5100
2020-05-21,6.410000,6.410000,6.000000,6.000000,6.000000,19500
2020-05-22,6.000000,6.042000,5.750000,5.810000,5.810000,30600
2020-05-26,5.750000,5.910000,5.750000,5.830000,5.830000,9400
2020-05-27,5.820000,5.820000,5.760000,5.810000,5.810000,8000
2020-05-28,5.820000,6.000000,5.750000,5.900000,5.900000,16400
2020-05-29,6.000000,6.230000,5.750000,5.980000,5.980000,44000
2020-06-01,5.830000,6.100000,5.830000,6.000000,6.000000,16700
2020-06-02,6.010000,6.180000,5.900000,6.030000,6.030000,47500
2020-06-03,6.000000,6.450000,5.760000,6.320000,6.320000,47700
2020-06-04,6.650000,7.190000,6.360000,7.190000,7.190000,22900
2020-06-05,7.430000,7.710000,7.340000,7.600000,7.600000,35900
2020-06-08,7.760000,7.790000,7.400000,7.500000,7.500000,48400
2020-06-09,7.500000,7.600000,7.300000,7.400000,7.400000,33100
2020-06-10,7.310000,7.510000,7.010000,7.400000,7.400000,40200
2020-06-11,7.300000,7.300000,6.355000,7.100000,7.100000,24700
2020-06-12,7.240000,7.240000,6.604000,7.100000,7.100000,8800
2020-06-15,6.585000,7.090000,6.070000,7.000000,7.000000,16400
2020-06-16,7.600000,7.600000,7.030000,7.490000,7.490000,11000
2020-06-17,7.240000,7.240000,7.060000,7.240000,7.240000,9100
2020-06-18,7.000000,7.190000,6.905000,7.050000,7.050000,8200
2020-06-19,7.050000,7.310000,7.050000,7.150000,7.150000,7000
2020-06-22,7.280000,7.370000,7.215000,7.300000,7.300000,5900
2020-06-23,7.380000,7.530000,7.380000,7.530000,7.530000,38900
2020-06-24,7.580000,7.760000,7.240000,7.490000,7.490000,18900
2020-06-25,7.260000,7.600000,7.260000,7.600000,7.600000,16500
2020-06-26,7.355000,7.650000,7.240000,7.250000,7.250000,21000
