Date,Open,High,Low,Close,Adj Close,Volume
2019-02-13,3.500000,3.900000,3.390000,3.680000,3.680000,170200
2019-02-14,3.680000,4.110000,3.640000,3.760000,3.760000,62700
2019-02-15,4.040000,4.040000,3.820000,3.820000,3.820000,29300
2019-02-19,4.040000,4.040000,3.856000,3.898000,3.898000,26200
2019-02-20,4.040000,4.040000,3.691000,4.000000,4.000000,54600
2019-02-21,4.110000,4.110000,4.000000,4.100000,4.100000,27600
2019-02-22,4.029000,4.100000,3.870000,4.030000,4.030000,20000
2019-02-25,3.860000,4.110000,3.798000,3.850000,3.850000,57800
2019-02-26,3.916000,4.000000,3.908000,3.990000,3.990000,6300
2019-02-27,3.990000,3.990000,3.813000,3.950000,3.950000,6500
2019-02-28,3.900000,4.050000,3.750000,3.900000,3.900000,6000
2019-03-01,3.990000,3.990000,3.750000,3.758000,3.758000,7500
2019-03-04,3.850000,3.980000,3.410000,3.410000,3.410000,29500
2019-03-05,3.220000,3.460000,3.216000,3.216000,3.216000,1700
2019-03-06,3.210000,3.216000,2.610000,2.720000,2.720000,57200
2019-03-07,2.997000,3.000000,2.600000,2.670000,2.670000,12900
2019-03-08,2.832000,2.990000,2.730000,2.965000,2.965000,31600
2019-03-11,3.250000,3.850000,2.917000,2.965000,2.965000,8900
2019-03-12,3.020000,3.896000,2.950000,3.300000,3.300000,67000
2019-03-13,3.740000,3.740000,3.020000,3.040000,3.040000,12900
2019-03-14,3.450000,3.869000,3.060000,3.100000,3.100000,18200
2019-03-15,3.160000,3.400000,2.988000,3.120000,3.120000,22200
2019-03-18,3.100000,3.375000,3.040000,3.040000,3.040000,2700
2019-03-19,3.386000,4.600000,3.164000,3.720000,3.720000,238200
2019-03-20,4.050000,4.600000,3.520000,3.750000,3.750000,153100
2019-03-21,4.162000,4.162000,3.655000,3.900000,3.900000,10100
2019-03-22,3.840000,4.248000,3.840000,4.020000,4.020000,13200
2019-03-25,4.270000,4.270000,3.900000,3.940000,3.940000,5800
2019-03-26,3.930000,4.330000,3.650000,3.670000,3.670000,15900
2019-03-27,4.132000,7.205000,3.750000,7.010000,7.010000,617500
2019-03-28,6.450000,6.450000,4.750000,4.850000,4.850000,257700
2019-03-29,4.800000,5.434000,4.500000,5.000000,5.000000,37500
2019-04-01,5.480000,5.850000,5.000000,5.300000,5.300000,184100
2019-04-02,5.450000,5.750000,5.000000,5.500000,5.500000,200900
2019-04-03,5.500000,5.600000,5.250000,5.600000,5.600000,52500
2019-04-04,5.648000,5.850000,5.350000,5.420000,5.420000,56500
2019-04-05,5.500000,5.650000,5.400000,5.450000,5.450000,23600
2019-04-08,5.600000,5.600000,5.086000,5.376000,5.376000,37700
2019-04-09,5.210000,5.575000,5.100000,5.320000,5.320000,17400
2019-04-10,5.400000,5.400000,4.600000,5.253000,5.253000,31500
2019-04-11,5.232000,5.550000,4.914000,5.000000,5.000000,31400
2019-04-12,5.010000,5.333000,4.120000,4.500000,4.500000,43900
2019-04-15,4.730000,5.110000,4.600000,4.660000,4.660000,6000
2019-04-16,4.670000,4.678000,3.650000,4.235000,4.235000,52000
2019-04-17,4.609000,4.990000,3.760000,3.760000,3.760000,55700
2019-04-18,4.030000,4.285000,3.770000,4.150000,4.150000,16000
2019-04-22,4.340000,4.358000,3.960000,4.270000,4.270000,13300
2019-04-23,4.000000,4.399000,4.000000,4.340000,4.340000,5000
2019-04-24,4.302000,4.399000,4.272000,4.399000,4.399000,700
2019-04-25,4.420000,4.737000,4.420000,4.620000,4.620000,20400
2019-04-26,4.250000,4.650000,4.250000,4.448000,4.448000,18800
2019-04-29,4.320000,4.486000,4.000000,4.020000,4.020000,18600
2019-04-30,4.090000,4.510000,4.070000,4.380000,4.380000,11800
2019-05-01,4.325000,4.327000,4.021000,4.327000,4.327000,1300
2019-05-02,4.090000,4.219000,4.000000,4.162000,4.162000,8700
2019-05-03,4.100000,4.268000,4.065000,4.268000,4.268000,3500
2019-05-06,4.115000,4.187000,4.099000,4.099000,4.099000,3300
2019-05-07,4.150000,4.233000,3.990000,4.057000,4.057000,17800
2019-05-08,4.000000,4.020000,3.900000,4.020000,4.020000,5100
2019-05-09,4.042000,4.060000,3.950000,3.985000,3.985000,2900
2019-05-10,3.940000,3.947000,3.940000,3.947000,3.947000,600
2019-05-13,3.700000,4.020000,3.600000,3.980000,3.980000,19100
2019-05-14,3.926000,3.938000,3.926000,3.938000,3.938000,600
2019-05-15,4.120000,4.420000,4.038000,4.335000,4.335000,15100
2019-05-16,4.500000,4.500000,4.030000,4.220000,4.220000,6700
2019-05-17,4.282000,4.282000,4.160000,4.210000,4.210000,2000
2019-05-20,4.400000,4.400000,4.004000,4.360000,4.360000,900
2019-05-21,4.332000,4.332000,4.030000,4.270000,4.270000,2200
2019-05-22,4.270000,4.270000,4.270000,4.270000,4.270000,100
2019-05-23,4.299000,4.337000,4.030000,4.030000,4.030000,1400
2019-05-24,4.200000,4.329000,4.050000,4.050000,4.050000,7300
2019-05-28,4.600000,5.190000,4.310000,4.700000,4.700000,52400
2019-05-29,4.800000,5.500000,4.400000,4.811000,4.811000,74900
2019-05-30,4.800000,5.020000,4.539000,4.969000,4.969000,6600
2019-05-31,5.020000,5.020000,4.510000,4.930000,4.930000,5500
2019-06-03,4.540000,5.020000,4.540000,4.760000,4.760000,2800
2019-06-04,4.877000,4.989000,4.716000,4.943000,4.943000,3500
2019-06-05,4.790000,5.500000,4.670000,4.790000,4.790000,26600
2019-06-06,5.400000,5.425000,4.876000,4.900000,4.900000,4800
2019-06-07,4.990000,5.370000,4.623000,4.820000,4.820000,11100
2019-06-10,4.618000,4.990000,4.605000,4.700000,4.700000,2500
2019-06-11,4.700000,4.937000,4.400000,4.420000,4.420000,15800
2019-06-12,4.400000,5.067000,4.400000,4.840000,4.840000,11500
2019-06-13,4.900000,5.000000,4.630000,4.720000,4.720000,16500
2019-06-14,4.422000,4.760000,4.422000,4.750000,4.750000,4200
2019-06-17,4.958000,5.150000,4.810000,5.000000,5.000000,39900
2019-06-18,5.076000,5.100000,4.800000,4.980000,4.980000,3500
2019-06-19,4.800000,5.000000,4.250000,4.700000,4.700000,22400
2019-06-20,4.610000,4.610000,4.320000,4.570000,4.570000,11900
2019-06-21,4.550000,4.550000,4.030000,4.030000,4.030000,15600
2019-06-24,4.350000,4.350000,3.800000,4.131000,4.131000,15800
2019-06-25,3.870000,4.032000,3.800000,3.802000,3.802000,10000
2019-06-26,3.800000,3.920000,3.800000,3.800000,3.800000,2300
2019-06-27,4.090000,4.275000,3.800000,3.920000,3.920000,1700
2019-06-28,4.140000,4.140000,3.900000,3.990000,3.990000,2100
2019-07-01,4.229000,4.400000,4.200000,4.400000,4.400000,7600
2019-07-02,4.200000,4.380000,4.200000,4.200000,4.200000,5000
2019-07-03,4.200000,4.200000,4.200000,4.200000,4.200000,0
2019-07-05,4.298000,4.330000,4.200000,4.292000,4.292000,2600
2019-07-08,4.590000,4.600000,4.200000,4.200000,4.200000,5200
2019-07-09,4.200000,4.600000,3.850000,4.181000,4.181000,5700
2019-07-10,3.900000,4.170000,3.900000,4.170000,4.170000,2600
2019-07-11,4.056000,4.161000,3.850000,3.850000,3.850000,4900
2019-07-12,4.021000,4.188000,3.268000,3.561000,3.561000,14000
2019-07-15,3.750000,3.962000,3.742000,3.742000,3.742000,1700
2019-07-16,3.993000,3.993000,3.610000,3.750000,3.750000,4900
2019-07-17,3.600000,3.700000,3.560000,3.610000,3.610000,2100
2019-07-18,3.690000,3.690000,3.450000,3.450000,3.450000,1400
2019-07-19,3.600000,3.700000,2.714000,3.050000,3.050000,16900
2019-07-22,3.287000,3.300000,2.750000,3.160000,3.160000,13700
2019-07-23,3.163000,3.290000,2.830000,3.290000,3.290000,5400
2019-07-24,3.260000,3.500000,3.010000,3.452000,3.452000,6700
2019-07-25,3.620000,3.620000,3.210000,3.330000,3.330000,3900
2019-07-26,3.200000,3.500000,3.200000,3.500000,3.500000,7900
2019-07-29,3.290000,4.450000,3.290000,3.810000,3.810000,9600
2019-07-30,3.793000,4.380000,3.560000,4.200000,4.200000,15400
2019-07-31,4.000000,4.200000,3.860000,3.998000,3.998000,8300
2019-08-01,4.000000,4.222000,3.450000,3.500000,3.500000,11600
2019-08-02,3.870000,4.350000,3.850000,4.200000,4.200000,2500
2019-08-05,3.850000,4.420000,3.850000,4.261000,4.261000,3800
2019-08-06,4.000000,4.400000,3.880000,4.000000,4.000000,11400
2019-08-07,3.914000,4.339000,3.900000,4.251000,4.251000,8500
2019-08-08,3.900000,4.295000,3.900000,4.020000,4.020000,1100
2019-08-09,4.000000,4.251000,3.850000,4.201000,4.201000,4600
2019-08-12,3.870000,4.375000,3.870000,4.330000,4.330000,1500
2019-08-13,4.350000,5.350000,3.945000,4.370000,4.370000,191000
2019-08-14,4.110000,4.310000,3.624000,3.670000,3.670000,38400
2019-08-15,3.670000,3.869000,3.500000,3.520000,3.520000,7800
2019-08-16,3.800000,4.940000,3.800000,3.961000,3.961000,79600
2019-08-19,4.250000,4.320000,3.850000,3.950000,3.950000,32800
2019-08-20,3.770000,4.231000,3.770000,4.200000,4.200000,8400
2019-08-21,4.180000,4.180000,3.960000,4.160000,4.160000,1200
2019-08-22,4.123000,4.170000,3.960000,4.110000,4.110000,11500
2019-08-23,3.950000,4.050000,3.950000,4.030000,4.030000,5400
2019-08-26,3.950000,4.030000,3.950000,4.030000,4.030000,1200
2019-08-27,3.983000,4.030000,3.750000,3.800000,3.800000,11600
2019-08-28,3.903000,3.970000,3.798000,3.910000,3.910000,7700
2019-08-29,4.071000,4.090000,3.930000,4.080000,4.080000,500
2019-08-30,3.921000,4.000000,3.840000,4.000000,4.000000,9800
2019-09-03,3.820000,3.971000,3.820000,3.971000,3.971000,1000
2019-09-04,3.900000,4.023000,3.900000,3.930000,3.930000,1400
2019-09-05,3.871000,4.000000,3.810000,3.960000,3.960000,2500
2019-09-06,3.910000,3.970000,3.900000,3.970000,3.970000,700
2019-09-09,3.900000,4.000000,3.740000,4.000000,4.000000,5300
2019-09-10,3.850000,3.982000,3.800000,3.935000,3.935000,9900
2019-09-11,4.000000,4.060000,3.810000,4.060000,4.060000,12800
2019-09-12,3.900000,3.970000,3.650000,3.970000,3.970000,10500
2019-09-13,3.830000,3.970000,3.768000,3.970000,3.970000,6800
2019-09-16,3.950000,3.970000,3.681000,3.970000,3.970000,14500
2019-09-17,3.960000,4.050000,3.810000,4.050000,4.050000,20400
2019-09-18,4.050000,4.200000,3.880000,3.880000,3.880000,42400
2019-09-19,3.920000,4.250000,3.550000,3.650000,3.650000,24600
2019-09-20,3.860000,4.000000,3.710000,3.860000,3.860000,50800
2019-09-23,3.999000,3.999000,3.590000,3.700000,3.700000,24300
2019-09-24,3.630000,3.857000,3.379000,3.810000,3.810000,28900
2019-09-25,3.615000,3.670000,3.500000,3.500000,3.500000,1500
2019-09-26,3.530000,3.700000,3.500000,3.530000,3.530000,5900
2019-09-27,3.550000,3.557000,3.145000,3.464000,3.464000,16000
2019-09-30,3.450000,3.644000,3.250000,3.644000,3.644000,6700
2019-10-01,3.285000,3.537000,3.190000,3.200000,3.200000,21600
2019-10-02,3.200000,3.340000,3.180000,3.180000,3.180000,7000
2019-10-03,3.180000,3.348000,3.100000,3.150000,3.150000,8800
2019-10-04,3.123000,3.123000,3.123000,3.123000,3.123000,500
2019-10-07,3.070000,3.250000,2.940000,2.940000,2.940000,3500
2019-10-08,3.109000,3.200000,2.955000,3.200000,3.200000,2300
2019-10-09,3.211000,3.211000,2.950000,3.010000,3.010000,2700
2019-10-10,2.925000,3.068000,2.925000,3.068000,3.068000,400
2019-10-11,2.870000,3.000000,2.764000,2.860000,2.860000,10400
2019-10-14,2.830000,2.880000,2.710000,2.880000,2.880000,1300
2019-10-15,3.030000,3.420000,3.020000,3.140000,3.140000,8500
2019-10-16,3.041000,3.072000,2.750000,3.072000,3.072000,7400
2019-10-17,3.000000,3.270000,3.000000,3.270000,3.270000,3200
2019-10-18,3.060000,3.340000,2.950000,2.950000,2.950000,4300
2019-10-21,3.199000,3.230000,3.053000,3.230000,3.230000,2200
2019-10-22,3.000000,3.260000,3.000000,3.000000,3.000000,4000
2019-10-23,3.000000,3.082000,2.655000,2.800000,2.800000,16800
2019-10-24,2.861000,2.980000,2.500000,2.750000,2.750000,10300
2019-10-25,2.860000,2.860000,2.750000,2.791000,2.791000,1600
2019-10-28,2.900000,3.130000,2.850000,3.020000,3.020000,14500
2019-10-29,2.820000,2.990000,2.650000,2.650000,2.650000,9200
