Date,Open,High,Low,Close,Adj Close,Volume
2021-04-30,3.330000,3.480000,3.319000,3.350000,3.350000,11700
2021-05-03,3.380000,3.439000,3.260000,3.310000,3.310000,27900
2021-05-04,3.240000,3.526000,3.235000,3.440000,3.440000,99800
2021-05-05,3.390000,3.740000,3.100000,3.300000,3.300000,117600
2021-05-06,3.250000,3.280000,3.050000,3.070000,3.070000,49600
2021-05-07,3.040000,3.334000,3.040000,3.090000,3.090000,30600
2021-05-10,3.190000,3.590000,3.110000,3.150000,3.150000,106400
2021-05-11,3.020000,3.090000,2.920000,3.020000,3.020000,57200
2021-05-12,2.970000,3.070000,2.900000,2.950000,2.950000,45800
2021-05-13,3.060000,4.600000,3.060000,3.430000,3.430000,50841600
2021-05-14,3.320000,3.600000,3.120000,3.550000,3.550000,1378300
2021-05-17,3.490000,3.700000,3.420000,3.690000,3.690000,381500
2021-05-18,3.840000,4.050000,3.500000,3.790000,3.790000,507000
2021-05-19,3.860000,3.860000,3.303000,3.370000,3.370000,185300
2021-05-20,3.340000,3.850000,3.340000,3.670000,3.670000,202700
2021-05-21,3.670000,3.730000,3.329000,3.670000,3.670000,371700
2021-05-24,3.600000,3.610000,3.350000,3.480000,3.480000,98600
2021-05-25,3.450000,3.500000,3.270000,3.290000,3.290000,177600
2021-05-26,3.220000,3.542000,3.220000,3.450000,3.450000,84300
2021-05-27,3.490000,3.880000,3.440000,3.830000,3.830000,175900
2021-05-28,3.940000,3.950000,3.700000,3.850000,3.850000,104200
2021-06-01,3.920000,4.000000,3.760000,3.980000,3.980000,70200
2021-06-02,3.900000,3.980000,3.800000,3.950000,3.950000,61800
2021-06-03,3.950000,3.970000,3.830000,3.880000,3.880000,47400
2021-06-04,3.980000,4.046000,3.900000,3.970000,3.970000,66400
2021-06-07,4.050000,4.200000,4.001000,4.100000,4.100000,72100
2021-06-08,4.160000,4.230000,4.010000,4.150000,4.150000,96100
2021-06-09,4.180000,4.280000,3.910000,3.940000,3.940000,174800
2021-06-10,4.050000,4.260000,3.700000,3.840000,3.840000,209000
2021-06-11,3.800000,3.900000,3.730000,3.840000,3.840000,36900
2021-06-14,3.930000,3.930000,3.740000,3.830000,3.830000,23200
2021-06-15,3.800000,3.800000,3.600000,3.680000,3.680000,28500
2021-06-16,3.720000,3.720000,3.460000,3.630000,3.630000,84000
2021-06-17,3.570000,3.830000,3.480000,3.830000,3.830000,76000
2021-06-18,3.830000,3.830000,3.600000,3.790000,3.790000,77700
2021-06-21,3.750000,3.830000,3.520000,3.820000,3.820000,55100
2021-06-22,3.820000,3.880000,3.610000,3.880000,3.880000,42200
2021-06-23,3.880000,3.880000,3.580000,3.590000,3.590000,38900
2021-06-24,3.610000,3.830000,3.610000,3.730000,3.730000,47100
2021-06-25,3.730000,3.820000,3.675000,3.730000,3.730000,158700
2021-06-28,3.730000,3.840000,3.670000,3.750000,3.750000,71100
2021-06-29,3.770000,3.840000,3.650000,3.710000,3.710000,127000
2021-06-30,3.720000,3.720000,3.410000,3.530000,3.530000,72700
2021-07-01,3.510000,3.720000,3.510000,3.650000,3.650000,15200
2021-07-02,3.643000,3.680000,3.460000,3.470000,3.470000,25600
2021-07-06,3.470000,3.600000,3.470000,3.550000,3.550000,21000
2021-07-07,3.510000,3.740000,3.510000,3.580000,3.580000,73100
2021-07-08,3.530000,3.590000,3.320000,3.410000,3.410000,30600
2021-07-09,3.470000,3.470000,3.345000,3.360000,3.360000,20500
2021-07-12,3.430000,3.430000,3.300000,3.350000,3.350000,29300
2021-07-13,3.310000,3.430000,3.290000,3.340000,3.340000,10300
2021-07-14,3.330000,3.330000,3.110000,3.150000,3.150000,28700
2021-07-15,3.080000,3.550000,3.060000,3.310000,3.310000,110100
2021-07-16,3.310000,3.400000,3.240000,3.270000,3.270000,9100
2021-07-19,3.020000,3.260000,3.020000,3.220000,3.220000,46900
2021-07-20,3.180000,3.460000,3.140000,3.280000,3.280000,34000
2021-07-21,3.300000,3.330000,3.225000,3.270000,3.270000,19200
2021-07-22,3.220000,3.300000,3.200000,3.240000,3.240000,12300
2021-07-23,3.250000,3.390000,3.130000,3.200000,3.200000,14200
2021-07-26,3.190000,3.388000,3.150000,3.289000,3.289000,11700
2021-07-27,3.300000,3.300000,3.110000,3.210000,3.210000,13700
2021-07-28,3.210000,3.270000,3.140000,3.160000,3.160000,10700
2021-07-29,3.260000,3.300000,3.170000,3.300000,3.300000,28000
2021-07-30,3.343000,3.343000,3.190000,3.260000,3.260000,12400
2021-08-02,3.195000,3.210000,3.150000,3.180000,3.180000,5600
2021-08-03,3.220000,3.300000,3.164000,3.190000,3.190000,22600
2021-08-04,3.190000,3.205000,3.144000,3.190000,3.190000,12600
2021-08-05,3.240000,3.240000,3.139000,3.190000,3.190000,12300
2021-08-06,3.190000,3.190000,3.110000,3.110000,3.110000,6300
2021-08-09,3.120000,3.140000,3.050000,3.120000,3.120000,13800
2021-08-10,3.070000,3.180000,3.060000,3.180000,3.180000,20300
2021-08-11,3.180000,3.180000,3.080000,3.110000,3.110000,9400
2021-08-12,3.070000,3.170000,3.060000,3.170000,3.170000,6800
2021-08-13,3.090000,3.155000,2.900000,2.970000,2.970000,26400
