Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,9.900000,9.900000,9.900000,9.900000,9.900000,100
2021-04-05,9.580000,9.680000,9.560000,9.600000,9.600000,2300
2021-04-06,9.600000,9.660000,9.600000,9.650000,9.650000,7400
2021-04-07,9.680000,9.770000,9.680000,9.770000,9.770000,1800
2021-04-08,9.770000,9.770000,9.770000,9.770000,9.770000,2000
2021-04-09,9.670000,9.670000,9.670000,9.670000,9.670000,20000
2021-04-12,9.780000,9.780000,9.780000,9.780000,9.780000,400
2021-04-13,9.780000,9.780000,9.780000,9.780000,9.780000,200
2021-04-14,9.750000,9.880000,9.750000,9.780000,9.780000,9800
2021-04-15,9.790000,9.830000,9.790000,9.800000,9.800000,30800
2021-04-16,9.790000,9.830000,9.790000,9.830000,9.830000,6000
2021-04-19,9.740000,9.830000,9.740000,9.800000,9.800000,21900
2021-04-20,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-04-21,9.800000,9.800000,9.800000,9.800000,9.800000,0
2021-04-22,9.720000,9.720000,9.720000,9.720000,9.720000,2100
2021-04-23,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-04-26,9.710000,9.710000,9.708000,9.708000,9.708000,3000
2021-04-27,9.799000,9.800000,9.750000,9.750000,9.750000,600
2021-04-28,9.740000,9.750000,9.740000,9.740000,9.740000,51300
2021-04-29,9.750000,9.750000,9.750000,9.750000,9.750000,1200
2021-04-30,9.750000,9.750000,9.720000,9.740000,9.740000,5500
2021-05-03,9.740000,9.740000,9.740000,9.740000,9.740000,0
2021-05-04,9.740000,9.740000,9.740000,9.740000,9.740000,3000
2021-05-05,9.710000,9.735000,9.710000,9.730000,9.730000,1400
2021-05-06,9.730000,9.730000,9.660000,9.664000,9.664000,9200
2021-05-07,9.700000,9.700000,9.700000,9.700000,9.700000,200
2021-05-10,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-05-11,9.670000,9.670000,9.670000,9.670000,9.670000,400
2021-05-12,9.650000,9.650000,9.650000,9.650000,9.650000,200
2021-05-13,9.650000,9.650000,9.650000,9.650000,9.650000,0
2021-05-14,9.720000,9.720000,9.710000,9.710000,9.710000,900
2021-05-17,9.710000,9.710000,9.710000,9.710000,9.710000,200
2021-05-18,9.710000,9.710000,9.710000,9.710000,9.710000,0
2021-05-19,9.710000,9.710000,9.710000,9.710000,9.710000,0
2021-05-20,9.710000,9.710000,9.710000,9.710000,9.710000,0
2021-05-21,9.640000,9.640000,9.630000,9.635000,9.635000,9500
2021-05-24,9.635000,9.635000,9.635000,9.635000,9.635000,0
2021-05-25,9.640000,9.640000,9.640000,9.640000,9.640000,1500
2021-05-26,9.660000,9.660000,9.610000,9.610000,9.610000,1200
2021-05-27,9.610000,9.610000,9.610000,9.610000,9.610000,0
2021-05-28,9.620000,9.630000,9.600000,9.630000,9.630000,15600
2021-06-01,9.620000,9.650000,9.620000,9.650000,9.650000,9400
2021-06-02,9.650000,9.650000,9.650000,9.650000,9.650000,0
2021-06-03,9.660000,9.680000,9.630000,9.670000,9.670000,98900
2021-06-04,9.630000,9.660000,9.610000,9.625000,9.625000,251700
2021-06-07,9.620000,9.640000,9.620000,9.640000,9.640000,54000
2021-06-08,9.635000,9.650000,9.620000,9.645000,9.645000,11900
2021-06-09,9.650000,9.660000,9.650000,9.660000,9.660000,57500
2021-06-10,9.650000,9.710000,9.640000,9.660000,9.660000,30600
2021-06-11,9.640000,9.710000,9.630000,9.710000,9.710000,31200
2021-06-14,9.670000,9.690000,9.650000,9.670000,9.670000,187300
2021-06-15,9.707000,9.710000,9.690000,9.700000,9.700000,12300
2021-06-16,9.700000,9.720000,9.700000,9.720000,9.720000,24800
2021-06-17,9.710000,9.710000,9.650000,9.690000,9.690000,20700
2021-06-18,9.690000,9.690000,9.660000,9.660000,9.660000,9700
2021-06-21,9.670000,9.670000,9.630000,9.650000,9.650000,198800
2021-06-22,9.670000,9.690000,9.670000,9.690000,9.690000,33500
2021-06-23,9.660000,9.690000,9.640000,9.690000,9.690000,32500
2021-06-24,9.690000,9.690000,9.690000,9.690000,9.690000,0
2021-06-25,9.680000,9.680000,9.660000,9.660000,9.660000,3100
2021-06-28,9.640000,9.650000,9.620000,9.650000,9.650000,41700
2021-06-29,9.629000,9.640000,9.629000,9.633000,9.633000,2400
2021-06-30,9.620000,9.630000,9.620000,9.630000,9.630000,1300
2021-07-01,9.630000,9.640000,9.630000,9.636000,9.636000,2600
2021-07-02,9.630000,9.650000,9.630000,9.630000,9.630000,6100
2021-07-06,9.630000,9.640000,9.620000,9.640000,9.640000,19100
2021-07-07,9.640000,9.650000,9.640000,9.650000,9.650000,64800
2021-07-08,9.640000,9.650000,9.640000,9.650000,9.650000,20500
2021-07-09,9.650000,9.650000,9.650000,9.650000,9.650000,0
