Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,12.750000,14.000000,12.750000,13.430000,13.430000,13978200
2021-07-02,13.500000,14.760000,13.500000,14.070000,14.070000,4579600
2021-07-06,14.460000,14.580000,13.520000,14.050000,14.050000,2790600
2021-07-07,14.690000,15.230000,12.751000,14.190000,14.190000,2227400
2021-07-08,14.140000,14.300000,13.655000,14.150000,14.150000,1356600
2021-07-09,13.900000,14.400000,13.800000,14.260000,14.260000,852200
2021-07-12,13.960000,14.200000,13.440000,13.920000,13.920000,805500
2021-07-13,13.650000,13.860000,12.980000,13.210000,13.210000,1028200
2021-07-14,13.110000,13.200000,12.500000,13.050000,13.050000,1146500
2021-07-15,13.000000,13.200000,12.900000,13.100000,13.100000,780500
2021-07-16,13.100000,13.100000,12.710000,12.960000,12.960000,776400
2021-07-19,13.000000,13.150000,12.840000,13.060000,13.060000,973200
2021-07-20,13.000000,13.120000,12.910000,13.000000,13.000000,342700
2021-07-21,12.990000,13.670000,12.990000,13.210000,13.210000,372900
2021-07-22,13.250000,13.420000,12.820000,13.040000,13.040000,78300
2021-07-23,13.010000,13.790000,12.845000,13.650000,13.650000,436200
2021-07-26,13.740000,13.890000,13.110000,13.280000,13.280000,214000
2021-07-27,13.100000,14.740000,12.920000,14.010000,14.010000,1091800
2021-07-28,14.020000,14.790000,13.750000,13.920000,13.920000,1473900
2021-07-29,14.130000,14.130000,13.420000,13.490000,13.490000,319700
2021-07-30,13.490000,14.009000,13.130000,13.170000,13.170000,371000
2021-08-02,13.220000,13.580000,12.900000,12.960000,12.960000,488300
2021-08-03,12.880000,13.147000,12.830000,13.070000,13.070000,232100
2021-08-04,13.250000,13.735000,13.250000,13.310000,13.310000,122300
2021-08-05,13.490000,13.840000,13.300000,13.540000,13.540000,154300
2021-08-06,13.650000,13.871000,13.090000,13.240000,13.240000,131400
2021-08-09,13.260000,13.390000,12.920000,13.160000,13.160000,153000
2021-08-10,13.170000,13.480000,13.110000,13.450000,13.450000,108300
2021-08-11,13.350000,14.010000,13.240000,13.970000,13.970000,425200
2021-08-12,13.950000,14.090000,13.130000,13.130000,13.130000,165700
2021-08-13,13.260000,13.790000,12.825000,12.950000,12.950000,230000
2021-08-16,12.770000,13.100000,12.770000,12.950000,12.950000,138100
2021-08-17,12.940000,12.940000,12.040000,12.040000,12.040000,298455
