Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,8.440000,9.000000,7.700000,7.990000,7.990000,91300
2019-02-05,8.250000,8.250000,7.020000,7.781000,7.781000,21400
2019-02-06,7.550000,7.900000,7.550000,7.751000,7.751000,4100
2019-02-07,7.800000,8.000000,7.563000,7.563000,7.563000,27800
2019-02-08,7.950000,7.950000,7.650000,7.918000,7.918000,5400
2019-02-11,8.250000,8.250000,7.500000,7.690000,7.690000,14300
2019-02-12,7.571000,7.952000,7.300000,7.700000,7.700000,20700
2019-02-13,7.440000,7.710000,7.150000,7.380000,7.380000,36100
2019-02-14,7.150000,7.449000,7.000000,7.353000,7.353000,14400
2019-02-15,7.400000,7.400000,7.248000,7.248000,7.248000,1400
2019-02-19,7.450000,7.450000,7.300000,7.430000,7.430000,4800
2019-02-20,7.380000,7.880000,7.330000,7.880000,7.880000,18500
2019-02-21,7.890000,7.900000,7.800000,7.900000,7.900000,4800
2019-02-22,7.860000,8.200000,7.860000,8.200000,8.200000,38900
2019-02-25,8.000000,8.151000,7.870000,8.140000,8.140000,1900
2019-02-26,8.000000,8.000000,7.600000,7.960000,7.960000,16600
2019-02-27,7.980000,7.980000,7.700000,7.800000,7.800000,9000
2019-02-28,7.560000,7.980000,7.500000,7.980000,7.980000,2400
2019-03-01,7.800000,7.800000,7.800000,7.800000,7.800000,200
2019-03-04,7.680000,7.942000,7.550000,7.550000,7.550000,1400
2019-03-05,7.580000,7.770000,7.580000,7.580000,7.580000,900
2019-03-06,7.567000,7.567000,7.500000,7.500000,7.500000,4000
2019-03-07,7.520000,7.550000,7.520000,7.550000,7.550000,400
2019-03-08,7.520000,7.550000,7.500000,7.550000,7.550000,2100
2019-03-11,7.670000,7.740000,7.500000,7.500000,7.500000,4400
2019-03-12,7.745000,7.745000,7.500000,7.510000,7.510000,2400
2019-03-13,7.550000,7.600000,7.500000,7.500000,7.500000,3500
2019-03-14,7.559000,7.800000,7.521000,7.800000,7.800000,7200
2019-03-15,7.800000,7.800000,7.080000,7.080000,7.080000,11700
2019-03-18,7.250000,7.730000,7.250000,7.730000,7.730000,6700
2019-03-19,7.660000,8.000000,7.660000,7.950000,7.950000,3800
2019-03-20,7.912000,7.930000,7.800000,7.910000,7.910000,1900
2019-03-21,7.720000,7.945000,7.720000,7.926000,7.926000,13400
2019-03-22,8.000000,8.000000,7.951000,7.995000,7.995000,2200
2019-03-25,8.000000,8.119000,7.990000,8.119000,8.119000,7700
2019-03-26,8.150000,8.150000,7.890000,8.000000,8.000000,6600
2019-03-27,8.000000,8.000000,8.000000,8.000000,8.000000,100
2019-03-28,7.530000,7.950000,7.530000,7.950000,7.950000,600
2019-03-29,7.789000,7.850000,7.789000,7.850000,7.850000,1700
2019-04-01,7.580000,7.596000,7.440000,7.450000,7.450000,20000
2019-04-02,7.450000,7.719000,7.428000,7.529000,7.529000,8000
2019-04-03,8.270000,8.270000,7.500000,7.797000,7.797000,11200
2019-04-04,8.257000,8.257000,7.340000,7.650000,7.650000,17800
2019-04-05,7.810000,7.860000,7.698000,7.810000,7.810000,17600
2019-04-08,8.760000,8.790000,8.100000,8.600000,8.600000,53000
2019-04-09,8.800000,10.680000,8.650000,10.440000,10.440000,157300
2019-04-10,10.620000,10.947000,9.490000,10.499000,10.499000,105100
2019-04-11,10.600000,10.600000,10.000000,10.199000,10.199000,28500
2019-04-12,10.240000,10.240000,9.304000,9.596000,9.596000,38800
2019-04-15,10.050000,10.890000,9.450000,10.362000,10.362000,27200
2019-04-16,11.000000,11.000000,10.040000,10.450000,10.450000,19300
2019-04-17,10.500000,10.500000,10.000000,10.130000,10.130000,9500
2019-04-18,10.110000,10.175000,9.850000,10.058000,10.058000,9200
2019-04-22,10.490000,11.000000,10.000000,10.748000,10.748000,27500
2019-04-23,11.000000,11.000000,10.200000,10.697000,10.697000,12900
2019-04-24,10.750000,10.750000,10.032000,10.349000,10.349000,20500
2019-04-25,10.840000,10.840000,10.300000,10.600000,10.600000,18000
2019-04-26,10.800000,10.800000,10.029000,10.400000,10.400000,34400
2019-04-29,10.800000,10.800000,10.131000,10.303000,10.303000,10400
2019-04-30,10.450000,10.650000,10.340000,10.615000,10.615000,11000
2019-05-01,10.800000,11.000000,10.635000,10.780000,10.780000,16900
2019-05-02,10.950000,11.100000,10.726000,10.950000,10.950000,26900
2019-05-03,11.150000,11.250000,10.555000,10.710000,10.710000,14200
2019-05-06,10.700000,10.920000,10.366000,10.500000,10.500000,8200
2019-05-07,10.370000,10.750000,10.370000,10.750000,10.750000,14800
2019-05-08,10.840000,10.850000,10.360000,10.653000,10.653000,17800
2019-05-09,10.790000,11.000000,10.529000,11.000000,11.000000,13800
2019-05-10,11.000000,11.000000,10.732000,10.930000,10.930000,6100
2019-05-13,10.760000,11.000000,10.500000,10.920000,10.920000,15500
2019-05-14,10.893000,10.990000,10.795000,10.990000,10.990000,10400
2019-05-15,10.929000,11.000000,10.832000,10.860000,10.860000,14600
2019-05-16,10.800000,11.500000,10.750000,10.750000,10.750000,33200
2019-05-17,10.955000,10.955000,10.624000,10.820000,10.820000,5700
2019-05-20,10.715000,10.990000,8.920000,9.490000,9.490000,46700
2019-05-21,9.160000,9.755000,8.600000,9.644000,9.644000,28200
2019-05-22,9.643000,11.226000,9.461000,10.700000,10.700000,41600
2019-05-23,10.650000,11.000000,9.507000,10.541000,10.541000,20300
2019-05-24,10.950000,10.950000,9.570000,10.801000,10.801000,27100
2019-05-28,11.030000,11.500000,10.375000,10.590000,10.590000,9000
2019-05-29,10.420000,10.520000,10.110000,10.480000,10.480000,5700
2019-05-30,10.267000,10.500000,10.250000,10.400000,10.400000,4300
2019-05-31,10.220000,10.500000,10.200000,10.250000,10.250000,7700
2019-06-03,10.450000,10.470000,10.150000,10.350000,10.350000,4900
2019-06-04,10.400000,10.430000,10.200000,10.271000,10.271000,8400
2019-06-05,10.430000,10.460000,10.270000,10.460000,10.460000,10400
2019-06-06,10.370000,10.500000,10.125000,10.300000,10.300000,12900
2019-06-07,10.220000,10.423000,10.150000,10.270000,10.270000,9700
2019-06-10,10.200000,10.430000,10.151000,10.210000,10.210000,9800
2019-06-11,10.287000,10.730000,10.200000,10.730000,10.730000,12000
2019-06-12,10.362000,10.678000,10.300000,10.370000,10.370000,9500
2019-06-13,10.480000,10.490000,10.350000,10.480000,10.480000,12000
2019-06-14,10.689000,10.713000,10.343000,10.420000,10.420000,6200
2019-06-17,10.490000,10.490000,10.180000,10.350000,10.350000,11600
2019-06-18,10.341000,10.580000,10.341000,10.419000,10.419000,7000
2019-06-19,10.430000,10.530000,10.370000,10.370000,10.370000,9100
2019-06-20,10.400000,10.470000,10.000000,10.000000,10.000000,9800
2019-06-21,10.240000,10.240000,9.850000,9.850000,9.850000,9300
2019-06-24,9.770000,9.890000,9.074000,9.205000,9.205000,12100
2019-06-25,9.100000,9.100000,8.900000,8.900000,8.900000,18000
2019-06-26,8.945000,9.525000,8.880000,9.230000,9.230000,6200
2019-06-27,9.350000,10.340000,9.350000,9.720000,9.720000,16900
2019-06-28,9.510000,9.750000,9.510000,9.750000,9.750000,7900
2019-07-01,9.750000,9.850000,9.510000,9.700000,9.700000,5300
2019-07-02,9.700000,9.750000,9.520000,9.750000,9.750000,3300
2019-07-03,9.750000,9.940000,9.584000,9.890000,9.890000,5600
2019-07-05,9.850000,9.850000,9.560000,9.560000,9.560000,1900
