Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,10.050000,10.110000,9.810000,9.820000,9.820000,18800
2021-03-16,9.947000,10.010000,9.900000,10.010000,10.010000,99900
2021-03-17,10.000000,10.305000,9.940000,10.130000,10.130000,17400
2021-03-18,10.250000,10.250000,10.000000,10.000000,10.000000,600
2021-03-19,10.000000,10.000000,9.996000,9.996000,9.996000,300
2021-03-22,9.999000,9.999000,9.800000,9.860000,9.860000,76300
2021-03-23,9.860000,9.950000,9.750000,9.815000,9.815000,77700
2021-03-24,9.790000,9.850000,9.780000,9.806000,9.806000,1595300
2021-03-25,9.750000,9.852000,9.690000,9.785000,9.785000,31900
2021-03-26,9.850000,9.850000,9.805000,9.805000,9.805000,6100
2021-03-29,10.490000,10.490000,9.810000,9.810000,9.810000,21700
2021-03-30,9.850000,9.982000,9.850000,9.850000,9.850000,47900
2021-03-31,9.870000,9.900000,9.810000,9.900000,9.900000,38300
2021-04-01,9.990000,9.990000,9.850000,9.880000,9.880000,15500
2021-04-05,9.920000,9.950000,9.850000,9.900000,9.900000,14900
2021-04-06,9.870000,9.950000,9.870000,9.880000,9.880000,18000
2021-04-07,9.880000,11.000000,9.880000,10.095000,10.095000,558700
2021-04-08,10.110000,10.200000,9.910000,10.140000,10.140000,464700
2021-04-09,10.100000,10.120000,10.000000,10.040000,10.040000,490400
2021-04-12,10.040000,10.045000,9.930000,10.030000,10.030000,278500
2021-04-13,10.050000,10.130000,10.000000,10.040000,10.040000,28500
2021-04-14,10.040000,10.040000,10.000000,10.010000,10.010000,60900
2021-04-15,10.010000,10.028000,10.000000,10.000000,10.000000,13800
2021-04-16,10.000000,10.010000,9.990000,10.000000,10.000000,116300
2021-04-19,10.000000,10.010000,9.900000,9.990000,9.990000,254800
2021-04-20,9.910000,9.960000,9.900000,9.910000,9.910000,46600
2021-04-21,10.000000,10.000000,9.850000,9.950000,9.950000,168500
2021-04-22,9.950000,10.080000,9.950000,10.080000,10.080000,182700
2021-04-23,10.110000,10.110000,10.000000,10.000000,10.000000,35800
2021-04-26,9.960000,10.090000,9.955000,9.970000,9.970000,35200
2021-04-27,10.070000,10.170000,9.980000,9.980000,9.980000,114900
2021-04-28,9.980000,9.980000,9.910000,9.935000,9.935000,184700
2021-04-29,9.930000,10.090000,9.930000,9.940000,9.940000,52700
2021-04-30,10.100000,10.105000,9.950000,9.980000,9.980000,3994100
2021-05-03,10.000000,10.000000,9.930000,9.970000,9.970000,1078800
2021-05-04,9.990000,10.000000,9.900000,9.940000,9.940000,302200
2021-05-05,9.950000,9.975000,9.930000,9.960000,9.960000,917000
2021-05-06,9.970000,9.970000,9.946000,9.970000,9.970000,546900
2021-05-07,9.940000,9.965000,9.940000,9.950000,9.950000,131600
2021-05-10,9.990000,9.990000,9.890000,9.970000,9.970000,902300
2021-05-11,9.950000,10.000000,9.800000,9.930000,9.930000,1371900
2021-05-12,9.930000,9.970000,9.850000,9.910000,9.910000,469100
2021-05-13,9.900000,9.930000,9.860000,9.910000,9.910000,173200
2021-05-14,9.910000,9.930000,9.850000,9.890000,9.890000,519800
2021-05-17,9.890000,9.930000,9.860000,9.890000,9.890000,202200
2021-05-18,9.900000,9.920000,9.860000,9.880000,9.880000,112300
2021-05-19,9.900000,9.920000,9.870000,9.890000,9.890000,515100
2021-05-20,9.880000,9.900000,9.860000,9.860000,9.860000,110100
2021-05-21,9.860000,9.930000,9.850000,9.875000,9.875000,1555600
2021-05-24,9.930000,9.940000,9.860000,9.880000,9.880000,181600
2021-05-25,9.890000,9.910000,9.870000,9.910000,9.910000,120000
2021-05-26,9.890000,9.930000,9.845000,9.860000,9.860000,703200
2021-05-27,9.850000,9.900000,9.850000,9.900000,9.900000,709300
2021-05-28,9.860000,9.900000,9.855000,9.870000,9.870000,264100
2021-06-01,9.880000,9.890000,9.860000,9.880000,9.880000,62200
2021-06-02,9.880000,9.890000,9.850000,9.870000,9.870000,841100
2021-06-03,9.880000,9.900000,9.860000,9.890000,9.890000,184200
2021-06-04,9.880000,9.880000,9.860000,9.860000,9.860000,331600
2021-06-07,9.890000,9.890000,9.860000,9.880000,9.880000,49700
2021-06-08,9.880000,9.920000,9.850000,9.910000,9.910000,218900
2021-06-09,9.890000,9.950000,9.870000,9.910000,9.910000,372600
2021-06-10,9.946000,9.946000,9.900000,9.910000,9.910000,29100
2021-06-11,9.940000,9.940000,9.880000,9.920000,9.920000,100800
2021-06-14,9.950000,9.950000,9.900000,9.920000,9.920000,205100
2021-06-15,9.902000,9.920000,9.900000,9.910000,9.910000,223500
2021-06-16,9.905000,9.950000,9.890000,9.920000,9.920000,674800
2021-06-17,9.910000,9.950000,9.900000,9.920000,9.920000,432700
2021-06-18,9.900000,9.920000,9.900000,9.920000,9.920000,111700
2021-06-21,9.890000,9.920000,9.890000,9.920000,9.920000,189400
2021-06-22,9.890000,9.910000,9.880000,9.910000,9.910000,201900
2021-06-23,9.895000,9.910000,9.870000,9.890000,9.890000,326000
2021-06-24,9.890000,9.900000,9.870000,9.880000,9.880000,79800
2021-06-25,9.880000,9.900000,9.870000,9.880000,9.880000,87200
2021-06-28,9.880000,9.900000,9.870000,9.890000,9.890000,132600
2021-06-29,9.900000,9.930000,9.900000,9.900000,9.900000,24000
2021-06-30,9.890000,9.920000,9.890000,9.890000,9.890000,63900
2021-07-01,9.890000,9.910000,9.870000,9.893000,9.893000,289800
2021-07-02,9.890000,9.900000,9.885000,9.890000,9.890000,11000
2021-07-06,9.890000,9.900000,9.890000,9.890000,9.890000,4800
2021-07-07,9.890000,9.895000,9.870000,9.890000,9.890000,266100
2021-07-08,9.890000,9.890000,9.870000,9.890000,9.890000,6300
