Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,16.299999,21.690001,15.500000,21.000000,21.000000,40888200
2021-07-02,19.854000,20.450001,18.320000,19.120001,19.120001,8631400
2021-07-06,18.900000,19.120001,17.000000,17.000000,17.000000,3973000
2021-07-07,17.289000,18.160000,17.000000,17.780001,17.780001,3213500
2021-07-08,17.250000,18.350000,17.000000,18.200001,18.200001,5448300
2021-07-09,18.370001,20.000000,18.370001,19.290001,19.290001,3951200
2021-07-12,19.700001,20.059999,17.820000,18.059999,18.059999,2665200
2021-07-13,18.250000,18.645000,17.500000,17.600000,17.600000,2567600
2021-07-14,17.650000,17.969999,17.150000,17.219999,17.219999,1456100
2021-07-15,17.330000,17.530001,16.990000,17.110001,17.110001,828600
2021-07-16,17.020000,17.330000,17.000000,17.040001,17.040001,1209800
2021-07-19,16.610001,17.000000,16.030001,16.959999,16.959999,1425400
2021-07-20,17.010000,17.100000,16.250000,16.590000,16.590000,1181000
2021-07-21,16.500000,16.790001,16.080000,16.280001,16.280001,1988900
2021-07-22,16.049999,16.280001,15.790000,16.070000,16.070000,1695500
2021-07-23,15.960000,16.740000,15.550000,16.709999,16.709999,2008900
2021-07-26,16.730000,17.969999,16.684999,17.170000,17.170000,3109600
2021-07-27,17.440001,17.469000,16.250000,16.430000,16.430000,1076700
2021-07-28,16.500000,16.850000,15.900000,15.950000,15.950000,1198800
2021-07-29,15.960000,16.530001,15.800000,16.510000,16.510000,818600
2021-07-30,16.299999,16.481001,15.890000,15.960000,15.960000,734700
2021-08-02,16.070000,16.076000,15.710000,15.740000,15.740000,995100
2021-08-03,16.000000,16.000000,15.690000,15.700000,15.700000,687100
2021-08-04,15.690000,15.830000,14.890000,15.120000,15.120000,1453900
2021-08-05,15.120000,15.640000,14.920000,15.640000,15.640000,537400
2021-08-06,15.570000,15.650000,15.170000,15.320000,15.320000,340800
2021-08-09,15.300000,16.030001,15.000000,15.900000,15.900000,1152300
2021-08-10,15.830000,15.960000,15.380000,15.680000,15.680000,563500
2021-08-11,15.760000,15.900000,14.985000,15.080000,15.080000,930500
2021-08-12,15.080000,15.320000,14.750000,14.800000,14.800000,911400
2021-08-13,14.800000,15.270000,14.700000,15.030000,15.030000,763800
2021-08-16,15.120000,15.150000,14.320000,14.620000,14.620000,978300
2021-08-17,14.560000,14.670000,13.620000,14.040000,14.040000,2476400
2021-08-18,14.239000,14.250000,13.010000,13.070000,13.070000,3209275
