Date,Open,High,Low,Close,Adj Close,Volume
2017-09-07,9.750000,9.790000,9.750000,9.780000,9.780000,530700
2017-09-08,9.800000,9.800000,9.800000,9.800000,9.800000,100
2017-09-11,9.800000,9.800000,9.780000,9.780000,9.780000,5300
2017-09-12,9.780000,10.110000,9.770000,9.820000,9.820000,119400
2017-09-13,9.820000,9.950000,9.820000,9.900000,9.900000,21100
2017-09-14,9.890000,9.950000,9.780000,9.780000,9.780000,3500
2017-09-15,9.780000,9.780000,9.780000,9.780000,9.780000,0
2017-09-18,9.780000,9.790000,9.780000,9.780000,9.780000,3600
2017-09-19,9.780000,9.830000,9.780000,9.780000,9.780000,1200
2017-09-20,9.810000,9.810000,9.810000,9.810000,9.810000,15000
2017-09-21,9.810000,9.810000,9.795000,9.810000,9.810000,5700
2017-09-22,9.780000,9.802000,9.780000,9.800000,9.800000,8800
2017-09-25,9.800000,9.840000,9.790000,9.800000,9.800000,59800
2017-09-26,9.790000,9.790000,9.790000,9.790000,9.790000,500
2017-09-27,9.790000,9.810000,9.780000,9.810000,9.810000,36300
2017-09-28,9.830000,10.019000,9.815000,9.820000,9.820000,61600
2017-09-29,9.820000,9.820000,9.820000,9.820000,9.820000,0
2017-10-02,9.810000,9.850000,9.810000,9.833000,9.833000,9300
2017-10-03,9.830000,9.840000,9.810000,9.810000,9.810000,3100
2017-10-04,9.810000,9.840000,9.810000,9.812000,9.812000,17400
2017-10-05,9.800000,9.800000,9.800000,9.800000,9.800000,50000
2017-10-06,9.800000,9.820000,9.800000,9.820000,9.820000,600
2017-10-09,9.820000,9.820000,9.810000,9.810000,9.810000,800
2017-10-10,9.830000,9.840000,9.810000,9.810000,9.810000,6400
2017-10-11,9.810000,9.810000,9.810000,9.810000,9.810000,0
2017-10-12,9.820000,9.820000,9.760000,9.790000,9.790000,400
2017-10-13,9.790000,9.790000,9.790000,9.790000,9.790000,0
2017-10-16,9.802000,9.802000,9.802000,9.802000,9.802000,1000
2017-10-17,9.800000,9.801000,9.800000,9.800000,9.800000,21500
2017-10-18,9.800000,9.830000,9.800000,9.820000,9.820000,35700
2017-10-19,9.820000,9.820000,9.819000,9.820000,9.820000,39600
2017-10-20,9.830000,9.830000,9.830000,9.830000,9.830000,100
2017-10-23,9.830000,9.830000,9.830000,9.830000,9.830000,0
2017-10-24,9.800000,9.800000,9.800000,9.800000,9.800000,1900
2017-10-25,9.750000,9.810000,9.750000,9.810000,9.810000,19700
2017-10-26,9.820000,9.958000,9.820000,9.950000,9.950000,9400
2017-10-27,9.820000,9.820000,9.810000,9.810000,9.810000,4100
2017-10-30,9.800000,9.821000,9.780000,9.810000,9.810000,351000
2017-10-31,9.810000,9.810000,9.810000,9.810000,9.810000,0
2017-11-01,9.810000,9.810000,9.810000,9.810000,9.810000,0
2017-11-02,9.810000,9.810000,9.810000,9.810000,9.810000,0
2017-11-03,9.810000,9.810000,9.810000,9.810000,9.810000,0
2017-11-06,9.830000,9.830000,9.800000,9.800000,9.800000,4700
2017-11-07,9.800000,9.810000,9.799000,9.800000,9.800000,26800
2017-11-08,9.810000,9.810000,9.810000,9.810000,9.810000,200
2017-11-09,9.800000,9.800000,9.800000,9.800000,9.800000,9000
2017-11-10,9.798000,9.800000,9.788000,9.800000,9.800000,9100
2017-11-13,9.810000,9.810000,9.810000,9.810000,9.810000,1500
2017-11-14,9.810000,9.810000,9.790000,9.810000,9.810000,1100
2017-11-15,9.810000,10.000000,9.810000,10.000000,10.000000,10100
2017-11-16,9.950000,9.950000,9.900000,9.900000,9.900000,1000
2017-11-17,9.900000,9.900000,9.900000,9.900000,9.900000,0
2017-11-20,9.900000,9.900000,9.900000,9.900000,9.900000,0
2017-11-21,15.000000,15.000000,15.000000,15.000000,15.000000,100
2017-11-22,12.000000,12.000000,9.800000,9.890000,9.890000,92100
2017-11-24,9.890000,9.890000,9.890000,9.890000,9.890000,0
2017-11-27,9.800000,9.820000,9.800000,9.800000,9.800000,3200
2017-11-28,9.800000,9.800000,9.800000,9.800000,9.800000,1000
2017-11-29,9.800000,9.800000,9.800000,9.800000,9.800000,0
2017-11-30,9.810000,9.810000,9.800000,9.800000,9.800000,2600
2017-12-01,9.780000,9.780000,9.780000,9.780000,9.780000,800
2017-12-04,9.830000,9.854000,9.750000,9.760000,9.760000,10400
2017-12-05,9.777000,9.812000,9.750000,9.765000,9.765000,19400
2017-12-06,9.760000,9.760000,9.750000,9.750000,9.750000,200
2017-12-07,9.780000,9.820000,9.750000,9.800000,9.800000,19800
2017-12-08,9.810000,9.810000,9.800000,9.800000,9.800000,400
2017-12-11,9.810000,9.810000,9.810000,9.810000,9.810000,1100
