Date,Open,High,Low,Close,Adj Close,Volume
2012-08-13,11.033058,11.033058,11.033058,11.033058,7.973670,0
2012-08-14,11.198347,11.198347,11.198347,11.198347,8.093125,5445
2012-08-15,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-16,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-17,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-20,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-21,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-22,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-23,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-24,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-27,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-28,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-29,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-30,11.198347,11.198347,11.198347,11.198347,8.093125,0
2012-08-31,11.198347,11.198347,11.198347,11.198347,8.093125,242
2012-09-04,11.033058,11.033058,11.033058,11.033058,7.973670,6050
2012-09-05,11.363636,11.363636,11.363636,11.363636,8.212580,2299
2012-09-06,11.363636,11.363636,11.363636,11.363636,8.212580,0
2012-09-07,11.363636,11.363636,11.363636,11.363636,8.212580,0
2012-09-10,11.363636,11.363636,11.363636,11.363636,8.212580,0
2012-09-11,11.363636,11.363636,11.363636,11.363636,8.212580,0
2012-09-12,11.363636,11.363636,11.363636,11.363636,8.212580,0
2012-09-13,11.446281,11.446281,11.446281,11.446281,8.272308,121
2012-09-14,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-17,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-18,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-19,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-20,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-21,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-24,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-25,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-26,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-27,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-09-28,11.446281,11.446281,11.446281,11.446281,8.368991,0
2012-10-01,10.652893,10.743802,10.652893,10.743802,7.855369,12463
2012-10-02,11.157025,11.157025,11.157025,11.157025,8.157498,3630
2012-10-03,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-04,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-05,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-08,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-09,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-10,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-11,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-12,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-15,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-16,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-17,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-18,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-19,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-22,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-23,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-24,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-25,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-26,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-10-31,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-01,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-02,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-05,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-06,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-07,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-08,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-09,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-12,11.157025,11.157025,11.157025,11.157025,8.157498,0
2012-11-13,10.743802,10.950413,10.743802,10.950413,8.006433,24321
2012-11-14,10.950413,10.950413,10.950413,10.950413,8.006433,0
2012-11-15,10.950413,10.950413,10.950413,10.950413,8.006433,0
2012-11-16,10.950413,10.950413,10.950413,10.950413,8.006433,0
2012-11-19,10.950413,10.950413,10.950413,10.950413,8.006433,0
2012-11-20,10.950413,10.950413,10.950413,10.950413,8.006433,0
2012-11-21,10.950413,10.950413,10.950413,10.950413,8.006433,0
2012-11-23,10.950413,10.950413,10.950413,10.950413,8.006433,0
2012-11-26,10.950413,10.950413,10.950413,10.950413,8.006433,0
2012-11-27,9.917355,10.371901,9.917355,10.371901,7.583451,2783
2012-11-28,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-11-29,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-11-30,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-12-03,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-12-04,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-12-05,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-12-06,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-12-07,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-12-10,10.371901,10.371901,10.371901,10.371901,7.583451,0
2012-12-11,10.752066,10.752066,10.413223,10.537190,7.704304,26620
2012-12-12,10.537190,10.537190,10.537190,10.537190,7.704304,0
2012-12-13,10.537190,10.537190,10.537190,10.537190,7.704304,0
2012-12-14,10.537190,10.537190,10.537190,10.537190,7.704304,0
2012-12-17,10.537190,10.537190,10.537190,10.537190,7.704304,0
2012-12-18,10.537190,10.537190,10.537190,10.537190,7.704304,0
2012-12-19,10.454545,10.454545,10.454545,10.454545,7.643879,1815
2012-12-20,10.619835,10.619835,10.619835,10.619835,7.764730,1815
2012-12-21,10.619835,10.619835,10.619835,10.619835,7.764730,0
2012-12-24,10.619835,10.619835,10.619835,10.619835,7.764730,0
2012-12-26,10.619835,10.619835,10.619835,10.619835,7.862631,0
2012-12-27,10.619835,10.619835,10.619835,10.619835,7.862631,0
2012-12-28,10.619835,10.619835,10.619835,10.619835,7.862631,0
2012-12-31,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-02,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-03,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-04,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-07,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-08,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-09,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-10,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-11,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-14,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-15,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-16,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-17,10.619835,10.619835,10.619835,10.619835,7.862631,0
2013-01-18,10.619835,10.619835,10.619835,10.619835,7.862631,0
